"","ENSEML_ID.biotype.symbol","X553C2","X3113C4","iPS1_dup","X690C5","iPS1","iPSC6","iPSC2_dup","iPSC2","iPSC5","X22q1115","X22q1115_dup","X1220C2","X1804","X22q1110C5","X22q1130","X22q1130_dup","X22q1160","X537","X1275C9","FoldChange","p.value"
"12113","ENSG00000196381.6|protein_coding|ZNF781",3.4104,2.8307,2.53083,1.91862,3.59967,2.62726,2.32457,3.49816,3.10833,2.06615,1.71238,2.16212,2.0731,2.93831,1.51819,2.9856,2.49823,2.66017,2.16865,0.793259890113716,0.0284513903218587
"12115","ENSG00000196388.4|protein_coding|INCA1",1.17746,0.977729,1.14835,0.543467,0.903009,0.74271,0.695923,0.898442,1.05452,1.42996,0.80166,1.58024,1.04939,1.34344,1.32448,1.26891,1.60351,0.890343,1.05586,1.36496512360577,0.00942243466962064
"12116","ENSG00000196391.6|protein_coding|ZNF774",3.72259,3.78068,3.89634,3.76412,3.55343,2.24798,6.60161,3.39786,4.26344,2.79614,2.13538,2.47596,2.64768,2.41857,2.74757,3.00003,2.21123,4.90098,3.40837,0.734293240755591,0.0401691793171276
"12185","ENSG00000196696.7|processed_transcript|PDXDC2P",6.58028,6.52516,10.2414,5.57338,7.66115,8.79012,6.12882,5.01186,8.6372,9.30505,13.1155,15.1328,7.81997,6.15219,10.1996,12.3357,12.3805,6.87202,9.08166,1.41452620339997,0.0148744927496872
"12192","ENSG00000196730.8|protein_coding|DAPK1",21.1558,16.4183,23.1574,17.923,24.7423,19.9703,21.2777,20.3538,22.5965,23.4663,26.3323,24.7626,22.5232,23.3234,22.5929,25.3211,21.4621,21.6845,24.3334,1.13127485739233,0.0164626125255586
"12274","ENSG00000197217.8|protein_coding|ENTPD4",37.3511,31.04,32.7897,36.9249,31.8405,46.2181,37.5114,36.9751,40.1498,38.6943,43.9657,44.7985,39.554,39.0501,80.3957,59.0462,50.9031,35.4248,39.1661,1.28143253065442,0.044770871003312
"12364","ENSG00000197769.5|protein_coding|MAP1LC3C",4.52608,1.86893,5.47159,1.2941,1.59525,1.93221,1.27449,0.225919,1.89119,3.36858,1.57453,4.17843,2.74728,7.7481,10.0436,12.0717,6.59648,1.10722,7.64852,2.55859624610036,0.0188542586824048
"12396","ENSG00000197928.6|protein_coding|ZNF677",35.624,27.0985,22.1397,18.9024,23.7212,28.2674,23.1551,23.1268,32.6682,30.125,25.8797,29.6618,32.6468,32.4834,35.2611,29.0826,30.7256,34.4501,28.3784,1.18372877586297,0.0342622033470853
"12402","ENSG00000197943.5|protein_coding|PLCG2",0.489661,1.80757,0.583557,1.15068,0.349907,0.832943,1.3639,0.50651,0.550723,1.16233,1.21903,1.99279,1.26874,1.13246,1.5513,1.18095,2.07218,0.647512,1.04388,1.56428936548738,0.039406298173143
"12417","ENSG00000198001.9|protein_coding|IRAK4",4.5726,5.58124,4.00767,3.86047,4.19813,4.49178,4.98568,2.89685,5.33143,5.57658,4.31176,7.81752,5.00452,4.4655,5.72022,5.78029,5.88149,4.74703,4.34771,1.20942592330533,0.0465845585131042
"12438","ENSG00000198105.7|protein_coding|ZNF248",18.972,13.4325,16.0209,18.3332,17.7139,16.7188,19.3558,19.3651,17.799,13.2199,13.8922,8.66503,14.8651,14.2182,18.0275,12.4338,16.5846,12.3994,18.3262,0.813948134311323,0.010235853712429
"12469","ENSG00000198265.7|protein_coding|HELZ",6.72176,6.87519,7.2619,8.29319,6.24003,8.80177,8.70993,7.21195,7.60805,8.16048,7.06529,11.2607,8.08805,7.90828,8.57036,13.154,11.3712,8.45886,7.61285,1.21796324983089,0.0371768580025699
"12557","ENSG00000198739.6|protein_coding|LRRTM3",3.50874,2.6373,2.20525,3.48538,2.95852,1.83124,3.04165,7.11066,2.83344,1.90214,0.986568,1.38388,3.6802,1.86462,1.03106,2.52177,1.26129,2.26035,1.95352,0.572766280631821,0.030337273091685
"12609","ENSG00000198873.10|protein_coding|GRK5",24.6406,7.5977,31.7192,13.2885,20.4037,32.2477,20.9611,17.2376,23.4721,24.2611,41.1909,107.389,19.9403,35.0262,58.1093,55.7973,53.4172,18.3474,32.0988,2.0933523935601,0.02289565255828
"12630","ENSG00000198920.5|protein_coding|KIAA0753",17.8704,15.1409,16.6301,17.861,18.4488,19.0948,16.6909,16.2294,14.9548,18.5901,15.8907,18.2232,19.0377,18.2618,19.1597,21.4317,18.194,18.3322,17.3916,1.08592882211807,0.0388377085031992
"12648","ENSG00000198961.5|protein_coding|PJA2",67.4326,62.0085,64.0309,62.2487,58.8461,60.8142,57.4766,66.8891,59.4918,56.7135,62.6022,77.6261,59.8064,66.8127,83.2347,74.4307,73.5591,71.4228,62.9528,1.10908834066324,0.0387415072632747
"12738","ENSG00000204131.6|protein_coding|NHSL2",1.37755,0.955039,2.14897,1.53212,1.30556,2.17544,1.57023,0.994975,1.47999,1.86613,3.59544,2.47509,2.40553,1.54582,4.15666,4.57931,4.01038,1.25064,1.64072,1.82964390953712,0.0112708591193043
"12743","ENSG00000204175.4|protein_coding|GPRIN2",6.94625,6.17673,6.20801,3.32018,7.19371,2.85399,3.85055,2.27251,3.98958,4.87283,3.54269,12.6757,5.60885,7.75444,7.37817,13.1355,10.7717,6.79551,7.17916,1.67578987519945,0.0171977397196194
"12778","ENSG00000204351.7|protein_coding|SKIV2L",26.7626,23.3553,30.443,25.2523,27.9795,30.9819,27.5056,33.2078,27.166,33.8867,45.5236,47.3657,30.4627,32.9184,35.9718,34.265,52.3787,22.4577,25.6104,1.28538091619369,0.0292039657668425
"12808","ENSG00000204514.5|protein_coding|ZNF814",20.3731,15.9566,16.0502,19.9131,16.7562,14.2276,16.615,13.6615,16.2133,16.0789,14.2415,12.4916,17.6864,13.2457,12.3386,12.34,10.1011,18.5482,15.1745,0.854809082933044,0.046176833323721
"12821","ENSG00000204576.7|protein_coding|PRR3",26.9332,24.6059,24.5004,23.9275,26.4691,23.4909,23.1106,26.1929,24.0315,24.8861,28.1065,21.2337,21.4978,24.2899,21.9288,20.6019,21.803,22.4651,18.94,0.910040759287295,0.032009755755368
"12894","ENSG00000205352.6|protein_coding|PRR13",18.996,20.1873,28.4594,20.0958,22.0188,26.8818,19.1936,24.0446,24.2719,20.9376,34.1712,36.0391,19.988,22.1831,36.4852,30.9944,33.9877,21.4832,23.9792,1.23548772172509,0.0481647890036143
"12902","ENSG00000205542.6|protein_coding|TMSB4X",910.369,772.927,557.07,773.612,406.048,686.357,723.315,818.849,1085.56,1109.07,958.381,1561.39,1352.88,907.331,1285.83,1282.83,903.936,1290.16,1151.35,1.57746857898159,0.000257127804789376
