SMAD5 hsa:4090
SMAP2 hsa:10902
SMAP2 hsa:64094
SMAP2 hsa:64744
SMIM13 hsa:221710
SMIM18 hsa:100507341
SMIM24 hsa:284422
SMN2 hsa:6607
SMOC1 hsa:64093
SNAI2 hsa:6591
SNAP25 hsa:6616
SNAP91 hsa:9892
SNCA hsa:6622
SNCB hsa:6620
SNCG hsa:6623
SNPH hsa:9751
SNTG1 hsa:54212
SORBS3 hsa:10174
SORCS1 hsa:114815
SOX13 hsa:9580
SPAG17 hsa:200162
SPARC hsa:6678
SPARCL1 hsa:8404
SPATA6 hsa:54558
SPDL1 hsa:54908
SPHK1 hsa:8877
SPHKAP hsa:80309
SPINK1 hsa:6690
SPOCD1 hsa:90853
SPOCK2 hsa:9806
SPON1 hsa:10418
SPP1 hsa:30827
SPP1 hsa:6696
SPRED3 hsa:399473
SPTBN4 hsa:57731
SRPX hsa:8406
SS18 hsa:6760
SST hsa:6750
ST18 hsa:9705
ST3GAL5 hsa:8869
ST6GALNAC3 hsa:256435
ST8SIA5 hsa:29906
STAC2 hsa:342667
STARD3NL hsa:83930
STMN2 hsa:11075
STMN4 hsa:81551
STON2 hsa:85439
STRA6 hsa:64220
STUM hsa:375057
STX1B hsa:112755
STXBP1 hsa:6812
SULT1A4 hsa:445329
SV2A hsa:9900
SVEP1 hsa:79987
SYN1 hsa:6853
SYNDIG1L hsa:646658
SYNGAP1 hsa:8831
SYNGR1 hsa:9145
SYNPR hsa:132204
SYP hsa:6855
SYPL1 hsa:6856
SYT1 hsa:6857
SYT10 hsa:341359
SYT3 hsa:84258
SYT5 hsa:6861
TAB2 hsa:23118
TAC1 hsa:6863
TACR1 hsa:6869
TAGLN hsa:6876
TAPBP hsa:6892
TASOR2 hsa:54906
TBC1D3L hsa:101060376
TBC1D3L hsa:414059
