PTPRZ1	hsa:5803
TP53INP2	hsa:58476
RHOU	hsa:58480
DLGAP3	hsa:58512
BCAT1	hsa:586
QDPR	hsa:5860
RAB3A	hsa:5864
RAB3B	hsa:5865
BCAM	hsa:587
RAP1GAP	hsa:5909
RARG	hsa:5916
RARRES2	hsa:5919
RASGRF1	hsa:5923
RBP2	hsa:5927
CACNG8	hsa:59283
TMEM35A	hsa:59353
RBMS1	hsa:5937
RBP2	hsa:5948
RBP4	hsa:5950
REST	hsa:5978
TRIM27	hsa:5987
RGS2	hsa:5997
BRD2	hsa:6046
RNF5	hsa:6048
CELF5	hsa:60680
FKBP10	hsa:60681
ROR1	hsa:6095
ROR2	hsa:6095
RPGR	hsa:6103
RPS9	hsa:6203
RRBP1	hsa:6238
RTKN	hsa:6242
RTN1	hsa:6252
RXRB	hsa:6257
S100A11	hsa:6282
S100A13	hsa:6284
S100B	hsa:6285
VPS52	hsa:6293
CCL2	hsa:6347
SDC4	hsa:6385
CXCL12	hsa:6387
NAPB	hsa:63908
CHTF18	hsa:63922
FKBP4	hsa:63943
DMRTA2	hsa:63950
CLSPN	hsa:63967
NEUROG2	hsa:63973
SMOC1	hsa:64093
SMAP2	hsa:64094
TNMD	hsa:64102
FN3K	hsa:64122
SELENOP	hsa:6414
NCAPG	hsa:64151
LHX5	hsa:64211
STRA6	hsa:64220
ROBO3	hsa:64221
SFRP2	hsa:6423
AGAP9	hsa:642517
SCX	hsa:642658
HIF3A	hsa:64344
WIPF3	hsa:644150
TMEM267	hsa:64417
DCLRE1C	hsa:64421
SCG5	hsa:6447
CCNI2	hsa:645121
SH3GL2	hsa:6456
SH3GL3	hsa:6457
SHBG	hsa:6462
EBF2	hsa:64641
CSRNP1	hsa:64651
SYNDIG1L	hsa:646658
SHOX2	hsa:6474
SMAP2	hsa:64744
TNS3	hsa:64759
FNDC4	hsa:64838
RANBP17	hsa:64901
BCL11B	hsa:64919
SIX1	hsa:6495
SKIV2L	hsa:6499
NDRG4	hsa:65009
SKP2	hsa:6502
REEP1	hsa:65055
SLC1A3	hsa:6507
SLC4A3	hsa:6508
SLC1A5	hsa:6510
SLC2A1	hsa:6513
BMP4	hsa:652
SLC4A2	hsa:6522
SKOR2	hsa:652991
BMP5	hsa:653
NET1	hsa:6530
ANXA8	hsa:653145
PCP4L1	hsa:654790
BMPR1B	hsa:658
SLIT3	hsa:6585
SLIT3	hsa:6586
SNAI2	hsa:6591
SMN2	hsa:6607
SNAP25	hsa:6616
SNCB	hsa:6620
SNCA	hsa:6622
SNCG	hsa:6623
HGF	hsa:6654
SPARC	hsa:6678
SPINK1	hsa:6690
SPP1	hsa:6696
BRCA1	hsa:672
SST	hsa:6750
SS18	hsa:6760
ZFP36L1	hsa:677
ZFP36L2	hsa:678
STXBP1	hsa:6812
VAMP2	hsa:6844
SYN1	hsa:6853
SYP	hsa:6855
SYPL1	hsa:6856
SYT1	hsa:6857
SYT5	hsa:6861
TAC1	hsa:6863
TACR1	hsa:6869
TAGLN	hsa:6876
TAPBP	hsa:6892
TBX2	hsa:6909
TBX3	hsa:6926
TCF7L2	hsa:6934
TCF12	hsa:6938
BUB1	hsa:699
PPP1R11	hsa:6992
ACTC1	hsa:70
TEAD1	hsa:7003
TEAD3	hsa:7005
TFAP2A	hsa:7020
TFAP2B	hsa:7021
TFAP2C	hsa:7022
NR2F2	hsa:7026
TGFB1	hsa:7040
TGFB3	hsa:7043
TGFBI	hsa:7045
TGFBR1	hsa:7046
TGFBR3	hsa:7049
TGIF1	hsa:7050
TH	hsa:7054
TIMP1	hsa:7076
TJP1	hsa:7082
TLE2	hsa:7089
SERPING1	hsa:710
TSPAN7	hsa:7102
