"","X","X67ND","X128ND","X162ND","X190ND","X212ND","X226ND","X272ND","X367ND","X67SD","X128SD","X162SD","X190SD","X212SD","X226SD","X272SD","X367SD","X67Nor","X128Nor","X162Nor","X212Nor","X190Nor","X226Nor","X272Nor","X367Nor","X67IL17","X128IL17","X162IL17","X212IL17","X190IL17","X226IL17","X272IL17","X367IL17","FoldChange","p.value"
"224","ENSG00000008517",0.877635,1.892172,1.638604,2.22212,0.761047,1.26965,1.359114,1.30953,2.975242,0.658369,0.624403,0.714801,0.542251,0.575391,0.908016,2.42978,0.535305,0.256216,0.787751,2.262597,4.169727065,6.392134,4.731646,4.107833,0.885059,3.625839,1.396098,3.612224,0.2741975,4.918997,2.689413,3.35208,0.198020806146825,0.00153535371834913
"252","ENSG00000010270",111.4737,105.22837,109.59047,98.45856,100.83036,63.01174,108.17914,109.98539,123.5993,105.57721,109.00918,104.19659,90.81697,77.533161,99.90614,91.03543,119.7053,93.24036,144.65204,98.953291,72.253069,76.733582,74.040532,74.96787,118.53809,85.92775,86.53883,74.93939,64.427958,74.1186,79.73554,68.582761,1.53207573885463,0.0419320274796892
"298","ENSG00000011426",5.217383,6.96423,4.275347,7.717122,3.42161,22.05678,6.2419396,7.7094336186,9.552832,9.934271651,7.3783099,10.6903578,4.471993,24.87771,10.223382,5.070183,3.61207,17.17099,8.375362,12.91228,20.3306347,21.876194,13.776087,24.84504,5.512673,18.081361,14.887234,29.622742,32.931168,17.8623992,24.858813195,26.2008428639,0.520496920102113,0.0429998393247125
"310","ENSG00000012048",9.47558,7.296226,13.918411,15.564502,20.281336,19.533727741,10.41687,11.186346136,11.796784,18.61611,9.678021,14.88494934,4.075678,17.407804,8.792265,12.792756,8.086239,18.721316,12.3382700025,15.337591,21.8733861,23.718612,29.016327,35.69831,14.321096,18.4406133696,22.94197,29.637422,23.148271,18.8129982158,33.1766442144,41.909025413,0.493926915213281,0.0127225434431629
"313","ENSG00000012171",14.825722,13.1030635271,21.7728291,18.2203089,38.49057,16.057129,27.28944,23.21039,15.0986781884,10.2206059105,14.37990918,22.764017,25.6718,9.928157,25.10628,19.82514,8.279907,11.878026346,5.49114,5.22742,19.062639,17.2447183509,10.431965674,17.207634,8.7247946,15.458753,15.353133,9.760172,15.2044543,13.757227,6.2927814,13.2115260658,0.482845389092981,0.0159690752969732
"332","ENSG00000013374",59.689795,61.1103292,58.15337,61.2770822639,40.6922103138,53.74783,61.6051,56.53357,53.59565103,57.960267509,57.82866,71.1150726502,50.47029,45.407872,59.422802,41.69306,65.60702,60.94829,71.485,62.81197,57.9184332,56.57469,57.75114,59.124979,64.78417,58.74146,52.94709,73.834566,63.57492,57.71949,63.8852468939,66.666,1.12742851002863,0.0457529332385675
"354","ENSG00000014919",49.8389,51.0529,46.1892,63.4028,47.9912,32.17143,45.0663,45.3211,41.4742,40.38831,42.5503,51.9397,49.372,27.78966,46.6615,41.8106,35.12488,34.37868,39.85798,35.78385,43.2563,48.6151,42.0499,39.2704,33.46227,43.4562,52.3679,48.0124,32.11306,33.16636,38.40074,48.712,0.838062043388915,0.0286671928657467
"368","ENSG00000016391",2.18672,0.885901,0.407907,1.08511,1.279487,3.67522,1.84925,4.082057,4.105529,0.965341,0.642638,1.78591,0.527168,3.54688,1.58745,1.00969,1.15837,2.13092,1.426087,2.260354,3.90706,4.346121985,3.69019,3.81584,2.3132190955,3.18113,2.24012,3.36248,5.05248,2.82943,2.39465,4.41051,0.442644658034911,0.00113652693008067
"384","ENSG00000018625",132.816498,101.42067,87.88634,72.6125400902,52.58507004,96.64219,174.74553,60.89479,105.51611,81.54073,80.82295114,57.47788,77.8055600157,50.470911,171.867768,60.53645,38.31693,52.29312,45.0341060451,46.180370352,66.260077,53.492585,49.14769,59.784383,60.29311,41.547917,61.6447,46.44703,12.320392,58.0166965992,51.384131793,100.2435857,0.795088165360491,0.0498695516657355
"422","ENSG00000023041",25.07838,28.819607,47.132799,31.810222,35.10271,43.217981,28.512517,23.10382,45.406905,33.119117,29.56621,35.7332,29.535132,56.38921,32.35624,24.67445,32.483796,34.59269,37.33468,32.199394,42.32952,40.15291,47.20446,52.862402,33.966949,44.69836,44.44662,46.9126,51.17486,44.28592,49.15204,40.81431,0.748348889789175,0.0197034741667489
