CASP1	hsa:834
HIST1H2BO	hsa:8348
HIST1H3E	hsa:8353
L3MBTL2	hsa:83746
EMILIN2	hsa:84034
WDR54	hsa:84058
KIRREL2	hsa:84063
QRICH2	hsa:84074
ZIC4	hsa:84107
ACAD11	hsa:84129
RNASEH2C	hsa:84153
ELMOD3	hsa:84173
ZMYND15	hsa:84225
GARNL3	hsa:84253
COQ5	hsa:84274
MFSD14C	hsa:84278
NTPCR	hsa:84284
THOC3	hsa:84321
HOOK3	hsa:84376
C2orf40	hsa:84417
MAP3K21	hsa:84451
MEGF11	hsa:84465
DHX16	hsa:8449
DCTN5	hsa:84516
HOPX	hsa:84525
ZNF559	hsa:84527
ATRN	hsa:8455
AFAP1L2	hsa:84632
USP32	hsa:84669
TRIM63	hsa:84676
GPAT3	hsa:84803
MFSD9	hsa:84804
IMP3	hsa:84888
SLC7A3	hsa:84889
ZSCAN10	hsa:84891
RNFT2	hsa:84900
ZNF587	hsa:84914
UBASH3B	hsa:84959
PPFIBP1	hsa:8496
FAM83A	hsa:84985
NIPSNAP1	hsa:8508
NDST2	hsa:8509
ELP1	hsa:8518
HIST1H2AH	hsa:85235
EAF1	hsa:85403
SLC22A16	hsa:85413
ZIC5	hsa:85416
CABS1	hsa:85438
TSLP	hsa:85480
DEGS1	hsa:8560
