"","GeneFeature","X10_3651","X13_4506B","X16_9319","X19_9429_6120","X26_2038A","X28_2038B","X2_BJ2A","X31_1792A","X34_1792E","X39_1835_3","X43_2497B","X7_3440","FoldChange","p.value"
"18928","SLFN11",6,13,7,7,48,43,1,1,19,55,22,4,4.94736842105263,0.0306513634106757
"18944","SLITRK6",182,230,72,162,245,221,47,231,254,550,315,149,2.15676959619953,0.0247696831878408
"18973","SMARCA1",5388,3684,4069,4818,6110,5399,5075,4695,5672,5923,6377,3789,1.27413041046863,0.00958669447600665
"18984","SMARCD3",2123,1624,2010,1361,1017,1410,3028,1152,1497,1300,1114,1541,0.640883032429195,0.0351291625481461
"19496","SNX10",442,613,749,302,421,522,578,198,258,198,123,611,0.522003034901366,0.0146108362727808
"19532","SOCS5",1287,812,742,1148,1255,1160,1093,1023,1178,1597,1794,756,1.37153134635149,0.0418081651660206
"19547","SORCS3",608,307,440,554,134,372,452,437,352,33,10,624,0.448241206030151,0.0151916470406916
"19554","SOSTDC1",69,94,5,53,164,103,41,281,147,489,732,15,6.91696750902527,0.0411440439322601
"19571","SOX6",2070,1993,2752,973,471,1153,2607,1058,942,180,161,2274,0.312968663667219,0.00130077066971638
"19574","SOX9",10623,8440,8958,6619,4665,6626,13981,6883,8607,5290,2081,6954,0.614520917678812,0.0334479670330017
"19714","SPOCK1",4060,845,673,2874,5104,2128,2027,4620,6469,5889,3640,2780,2.1004600648616,0.015992831792693
"19717","SPON1",2353,3107,4623,557,311,1211,6994,1668,896,41,1264,3437,0.255849271510607,0.0309154912690957
"19730","SPRN",503,368,469,263,248,305,477,212,278,384,228,323,0.688722430295464,0.0278818993570603
"19752","SPSB2",247,206,180,137,99,108,243,131,130,138,114,98,0.648064806480648,0.0423887545952729
"19757","SPTB",218,484,310,91,70,190,221,88,74,29,91,531,0.292183288409703,0.0235261380803048
"19777","SRCRB4D",14,21,17,10,8,7,21,10,8,9,13,16,0.555555555555555,0.00614479497630984
"19874","ST13P4",9,4,9,8,13,11,4,9,11,7,10,9,1.41860465116279,0.0462505068403121
"19884","ST3GAL6",212,168,326,156,99,141,220,193,206,81,34,206,0.585403726708075,0.036087741074517
"19885","ST5",2993,3768,4064,2260,2265,2528,3655,2297,1911,2854,2833,2585,0.760051746442432,0.049043411062386
"19904","ST8SIA5",546,1122,687,229,38,141,587,616,224,2,9,531,0.278227984873042,0.0160209214019797
"19910","STAC3",26,15,25,17,18,18,25,19,16,18,7,25,0.721804511278195,0.0456470697906111
"19914","STAG3L1",158,85,155,85,51,38,84,28,33,22,48,44,0.360065466448445,0.0155332450418507
"19939","STAT5A",28,22,21,16,36,39,18,27,24,21,51,13,1.67796610169492,0.0332547388423325
"19963","STK17B",456,233,196,330,428,311,164,519,543,838,1320,208,2.49464398235665,0.0458866284888242
"19971","STK32C",617,424,690,358,188,320,736,443,358,322,339,340,0.622432859399684,0.0388875931475789
"20011","STX12",2937,2455,2649,2204,1162,1171,3605,2119,2121,2792,1958,2154,0.707510622344414,0.0446293820124707
"20020","STX3",233,49,49,291,582,370,38,190,215,264,292,153,2.3530135301353,0.0331418599005857
"20027","STXBP2",19,4,22,13,28,19,7,22,15,23,32,9,1.87837837837838,0.0176353531212536
"20099","SV2A",9594,6844,8021,5534,4664,5751,9492,5495,5080,4575,3523,5215,0.650738255033557,0.0186193741092829
"20113","SYCE1L",26,25,32,37,23,18,46,14,21,22,16,17,0.622950819672131,0.0387169218766871
"20121","SYDE2",135,60,51,110,117,162,74,104,111,116,163,54,1.59710743801653,0.0225881814422466
"20163","SYT17",287,229,308,181,172,246,514,141,194,120,121,252,0.561264822134387,0.0412920176079455
"20245","TAP2",653,438,426,481,487,490,365,620,564,718,796,338,1.36060718252499,0.0394877644355816
"20247","TAPBPL",6,9,1,15,9,15,14,19,17,14,29,5,2.06,0.0319538607385118
"20296","TBC1D12",965,887,1084,642,600,856,1157,769,702,784,532,816,0.764366780760223,0.0413197761045272
"20372","TCEA3",15,11,7,11,14,14,8,15,15,13,11,4,1.46428571428571,0.0388774345662234
"20403","TCF7L2",1922,970,838,1477,2213,1535,1748,1588,1822,2548,2401,761,1.56907724209435,0.0214934634800309
"20408","TCIRG1",19,7,8,15,36,28,18,37,42,42,22,16,2.49397590361446,0.000570014500473507
"20417","TCP10L",49,31,50,41,22,23,35,13,14,10,8,37,0.37037037037037,0.00010465453682276
"20496","TEX22",59,40,76,33,26,35,58,19,33,29,11,37,0.504950495049505,0.012462010684897
"20592","THRA",2052,1456,2201,1252,911,1385,2711,1368,1336,981,1198,1446,0.645709660010793,0.034517125147107
"20642","TIMP4",433,890,1403,200,290,463,1512,452,245,317,149,999,0.35240022070995,0.0385729680951523
"20680","TLR6",5,3,2,3,35,9,5,9,4,42,24,1,6.47368421052632,0.0417635386669986
"20701","TM7SF2",2712,2118,2424,1680,1522,1771,3093,1629,1711,1484,1262,1425,0.697219744275944,0.0451876567236487
