FAM83G	hsa:644815
SH3GL2	hsa:6456
BNC1	hsa:646
SHC1	hsa:6464
SIX1	hsa:6495
RAPH1	hsa:65059
SLC1A2	hsa:6506
SLC1A3	hsa:6507
SLC1A5	hsa:6510
SLC2A3	hsa:6515
BMP4	hsa:652
SLC6A1	hsa:6529
SLC6A9	hsa:6536
SLC6A11	hsa:6538
SLC15A2	hsa:6565
SLIT1	hsa:6585
SLIT1	hsa:6586
SNAI2	hsa:6591
SMARCD3	hsa:6604
SORL1	hsa:6653
SOX9	hsa:6662
SP100	hsa:6672
FOXL2	hsa:668
SPINT1	hsa:6692
SPOCK1	hsa:6695
SPTB	hsa:6710
SSTR1	hsa:6751
STAT6	hsa:6778
AURKA	hsa:6790
SLC7A11	hsa:682
TAGLN	hsa:6876
CNTN2	hsa:6900
TBX15	hsa:6913
TCF7L2	hsa:6934
TEK	hsa:7010
TFAP2C	hsa:7022
TFRC	hsa:7037
LEFTY2	hsa:7044
TGFBI	hsa:7045
TGM2	hsa:7052
THBS1	hsa:7057
THBS2	hsa:7058
TIMP4	hsa:7079
NKX2-1	hsa:7080
TLL2	hsa:7093
TSPAN7	hsa:7102
TNFAIP6	hsa:7130
TNNI1	hsa:7135
TPM1	hsa:7168
TPM2	hsa:7169
ACTG2	hsa:72
HTRA3	hsa:726
PHLDA2	hsa:7262
TTK	hsa:7272
GXYLT2	hsa:727936
TUBB2A	hsa:7280
TNFSF4	hsa:7292
C7	hsa:730
VDR	hsa:7421
MPPED2	hsa:744
VRK2	hsa:7444
WNT5A	hsa:7474
WNT7B	hsa:7477
CHD5	hsa:7485
XPNPEP2	hsa:7512
ZIC2	hsa:7546
CACNB2	hsa:783
MALL	hsa:7851
FZD5	hsa:7855
SCG2	hsa:7857
METRN	hsa:79006
AHNAK	hsa:79026
MLPH	hsa:79083
TRIM48	hsa:79097
MMP25	hsa:79148
MMP28	hsa:79148
CALB2	hsa:794
TMEM231	hsa:79583
FAT4	hsa:79633
RHBDF2	hsa:79651
LIN28A	hsa:79727
MYH14	hsa:79784
CLMP	hsa:79827
THSD4	hsa:79875
RIN3	hsa:79890
CALCR	hsa:799
ADM2	hsa:79924
PAQR6	hsa:79957
SCD5	hsa:79966
C7orf58	hsa:79974
CALD1	hsa:800
CPEB4	hsa:80315
ADAM12	hsa:8038
PDCD1LG2	hsa:80380
MFAP5	hsa:8076
APOL6	hsa:80830
APOL4	hsa:80832
HMGA2	hsa:8091
COLEC12	hsa:81035
OR51E2	hsa:81285
NPR3	hsa:8131
SLC7A5	hsa:8140
CAMK2A	hsa:815
STMN4	hsa:81551
FAM83D	hsa:81610
ST6GALNAC5	hsa:81849
GDF5	hsa:8200
DYSF	hsa:8291
FZD1	hsa:8321
PITPNM3	hsa:83394
CDCA3	hsa:83461
GLT8D2	hsa:83468
CASP4	hsa:837
INHBE	hsa:83729
HMCN1	hsa:83872
MRO	hsa:83876
OBSCN	hsa:84033
EMILIN2	hsa:84034
USP44	hsa:84101
LOXL4	hsa:84171
CHD5	hsa:84181
RNF135	hsa:84282
SDPR	hsa:8436
PHYHIPL	hsa:84457
CASQ2	hsa:845
FNDC1	hsa:84624
TUBA1C	hsa:84790
SEMA7A	hsa:8482
RGS5	hsa:8490
MAEL	hsa:84944
JUB	hsa:84962
CPZ	hsa:8532
NKD1	hsa:85407
KIAA1755	hsa:85449
PDLIM4	hsa:8572
PPAP2B	hsa:8613
STC2	hsa:8614
CADPS	hsa:8618
UNC5C	hsa:8633
CDH20	hsa:8641
ABCB11	hsa:8647
DLC1	hsa:8655
SLC4A4	hsa:8671
PEA15	hsa:8682
ABCC3	hsa:8714
ADAM19	hsa:8728
DLK1	hsa:8788
TNFRSF10D	hsa:8793
NRP2	hsa:8828
NRP1	hsa:8829
SOCS2	hsa:8835
WISP1	hsa:8840
IER3	hsa:8870
SPHK1	hsa:8877
CCNB1	hsa:891
P4HA2	hsa:8974
C16orf45	hsa:89927
CHD5	hsa:8997
CCNG1	hsa:900
PHLDB2	hsa:90102
TSPAN18	hsa:90139
SOCS3	hsa:9021
CH25H	hsa:9023
SLC7A7	hsa:9056
PAPSS2	hsa:9060
TBL1Y	hsa:90665
ANGPTL1	hsa:9068
DIRAS3	hsa:9077
TBX18	hsa:9096
CREB3L1	hsa:90993
TRIM47	hsa:91107
NMI	hsa:9111
SLC16A3	hsa:9123
CCNB2	hsa:9133
SLFN11	hsa:91607
SYT12	hsa:91683
OSMR	hsa:9180
DCLK1	hsa:9201
LGI1	hsa:9211
LRAT	hsa:9227
DLGAP1	hsa:9229
MSC	hsa:9242
CRLF1	hsa:9244
STK17B	hsa:9262
STK17A	hsa:9263
CD9	hsa:928
GPR37L1	hsa:9283
GPR56	hsa:9289
NDST3	hsa:9348
ITGBL1	hsa:9358
PIM1	hsa:9361
MYOCD	hsa:93649
KL	hsa:9365
NRXN2	hsa:9379
ACVRL1	hsa:94
TTYH2	hsa:94015
LRRC4B	hsa:94030
HTRA3	hsa:94031
SFXN5	hsa:94097
FAM189A2	hsa:9413
NTN1	hsa:9423
ITM2A	hsa:9452
HOMER3	hsa:9454
ARHGEF6	hsa:9459
HAND2	hsa:9464
MAPK8IP1	hsa:9479
ENTPD2	hsa:954
CXCL14	hsa:9547
GABBR2	hsa:9568
RGS6	hsa:9628
MICAL2	hsa:9645
SDC3	hsa:9672
DLGAP5	hsa:9787
MTSS1	hsa:9788
SPOCK2	hsa:9806
TRIL	hsa:9865
SV2A	hsa:9900
CDC20	hsa:991
DLC1	hsa:9940
GFPT2	hsa:9945
MVP	hsa:9961
TNFSF15	hsa:9966
CLEC2B	hsa:9976
REC8	hsa:9985
CDH1	hsa:999
