"","GENE_ID","A_58a","A_117b","A_282a","A_285b","A_483b","A_689b","A_755a","A_L8a","A_L10a","B_99b","B_107b","B_139a","B_292b","B_317b","B_365a","B_L7a","B_L9a","B_pyauma","FoldChange","p.value"
"12534","ENSG00000169299",20.56,19.14,11.89,17.06,15.78,17.61,13.41,16.82,14.56,14.93,10.74,11.84,17.09,6.69,14.85,8.76,16.12,12.45,1.29399841367762,0.0237477876230462
"12651","ENSG00000169857",11.56,11.93,15.68,12.16,11.79,17.49,13.55,9.57,15.05,9.55,8.89,9.92,13.38,8.21,13.36,9.34,12.44,12.65,1.21526498874565,0.0449881951312738
"12743","ENSG00000170271",5.92,7.84,7.32,8.52,7.65,7.21,10.41,8.77,8.38,7.62,4.94,7.03,6.75,5.16,5.42,5.33,8.56,6.08,1.26595183687819,0.0113362303276103
"12772","ENSG00000170381",2.15,1.6,1.8,0.4,2.66,0.91,3.27,1.89,1.47,2.85,3.43,3.54,0.96,2.67,2.16,4.98,1.77,3.74,0.618773946360153,0.0399527864868682
"12933","ENSG00000171094",2.41,6.56,5.13,4.09,6.92,2.14,7.71,6.73,6.36,7.4,8.12,9.58,6.04,6.63,4.88,9.47,10.12,6.97,0.694263834705967,0.0189440690538029
"12982","ENSG00000171262",74.39,51.54,62.6,113.91,74.51,48.87,75.83,63.64,60.86,33.99,48.79,59.83,63.99,54.03,62.63,43.35,49.48,66.57,1.29729001781793,0.0499857058955103
"13060","ENSG00000171587",0.79,1.84,4.18,0.88,2.53,0.49,2.08,3.63,1.01,4.37,3.05,3.53,1.55,2.32,1.73,4.49,4.49,4,0.590247206230952,0.0358306282031167
"13072","ENSG00000171634",107.41,108,119.1,103.82,141.75,102.02,101.39,107.49,109.91,65.2,99.95,101.34,104.72,74.41,100.12,92.46,99.89,114.13,1.17445025932271,0.0245398328503783
"13362","ENSG00000172893",62.23,79.02,85.19,47.22,117.1,71.46,102.3,74.83,69.88,151.44,121.3,99.32,134.62,69.14,60.19,168.56,80.56,120.8,0.705049059079658,0.0381134864970058
"13396","ENSG00000173068",1.82,1.53,0.42,1.29,0.76,1.59,2.62,0.72,1.8,3.32,1.88,4.11,2.97,1.53,3.05,1.29,4.51,0.19,0.549234135667396,0.0498585723797273
"13613","ENSG00000174231",90.41,91.25,112.52,99.97,101.29,102.06,88.75,113.91,133.92,51.69,78.65,71.15,114.63,59.14,103.12,82.33,112.59,87.1,1.22840610205155,0.0475148399659994
"13646","ENSG00000174444",3819.89,2724.8,2814.06,4948.11,2413.39,3556.45,2420.88,3460.64,4096.62,2183.7,2202.78,2329.19,2885.1,2819.26,3162.82,2197.65,2746.48,2078.74,1.33837099636729,0.0196347404139554
"13695","ENSG00000174718",32.44,20.53,23.76,33.02,31.6,33.25,24.81,30.35,28.58,11.29,25,21,27.89,18.34,30.44,17.27,20.82,32.81,1.26105633115298,0.0495707469068187
"13707","ENSG00000174791",0.47,0.73,0.34,0.52,0.43,1.29,0.43,0.7,0.62,2.83,1.19,1.4,0.55,0.66,2.45,0.65,2.9,0.6,0.417989417989418,0.0337637090024264
"13760","ENSG00000175054",18.25,19.19,10.56,19.25,19.04,20.81,23.87,15.82,16.39,13.33,15.87,19.01,11.42,14.96,17.79,13.86,14.09,14.1,1.21386595254036,0.0460230475805515
"13790","ENSG00000175198",32.29,33.04,14.76,38.17,27.75,47.94,37.85,41.17,31.78,23.86,19.29,24.88,25.94,21.5,26.91,22.34,27.51,25.78,1.39787165726343,0.0149159006311606
"13796","ENSG00000175216",203.2,251.91,223.28,231.97,218.69,127.14,192.47,220.45,236.45,127.56,166.96,195.63,200.3,118.27,209.93,165.41,206.34,161.63,1.2277855453825,0.0297826558658281
"13830","ENSG00000175390",108.33,125.91,125.69,127.52,113.81,167.6,127.83,105.9,127.11,99.08,111.2,103.12,94.9,88.25,102.37,94.19,107.18,76.68,1.2881854567431,0.00143285766948067
