GH10J003365	CEBPA||FOXA2||CTBP1||RXRA||SMAD4||CUX1||ETV4||MIER3||RARA||FOSL2||JUND||CREM||FOXP1||BCL6||TCF7L2||SOX5||ZNF217||PKNOX1||HNF4A||FOXA1||HMG20A||HHEX||HMG20B||BHLHE40||TFAP4||ATF2||NR2F6||ELF3||RXRB||CEBPG||JUN||ARID3A||HNF1A||SOX13||PPARG||NFIL3||HLF||GATAD2A||TCF7||FOS||ZKSCAN8||ZNF7||ATF7||RERE||ZGPAT||FOXA3||CREB1||TFE3||TEAD1
GH10J004201	CEBPB||GATA2||HLF
GH10J004207	CTCF
GH10J004469	JUND||CEBPB||POLR2A||EP300||FOS||CEBPG
GH10J004473	PKNOX1||RFX1
GH10J004471	
GH10J004127	SP1||YY1||BCL11A||FOXA2||CUX1||IRF4||RARA||EBF1||CBFB||CREM||FOXP1||SOX5||BATF||FOXA1||NFATC1||MTA3||ATF2||JUNB||NR2F6||ELF3||ZBED1||HNF1A||POU5F1||TBL1XR1||NANOG||SPI1||TCF7||EED||RXRA||SOX13||TCF12||ZNF592||RUNX3||GABPA||ETV6||FOXA3||NR2F2
GH10J004700	JUND||CEBPB||MAX||EP300||FOXA2||STAT3||ZNF316||MAFK||NFE2L2||POLR2A
GH10J004477	
GH10J004709	ATF2||CTCF||ZNF18||CREM||CREB1||RAD21||ATF1||ATF3||ZNF143||TRIM22||ATF7
GH10J004708	CTCF||ATF1||ATF7||EP300
GH10J004482	
GH10J004205	
GH10J004206	
GH10J003363	
GH10J003541	JUND||MAFK||ZSCAN4||EP300||FOS
GH10J004028	MAFF||ZNF316||MAFK||MAFG||CEBPB||EMSY||CEBPG
GH10J004073	RAD21||ZNF548||RXRA
GH10J004070	EGR2||ZFHX2
GH10J003494	NRF1||FOS
GH10J004314	CTCF||POLR2A||FOS
GH10J004488	
GH10J004718	
GH10J003436	CTCF
GH10J004129	JUND||CEBPA||CEBPB||FEZF1||ZNF148||ZBTB7B||EP300||HES1||ZNF521||CTBP1||CUX1||IRF4||MLLT1||ESRRA||ZNF658||E4F1||PRDM6||GATA3||ZNF217||SPI1||MYC||ZNF8||MAX||INSM2||BATF||MAFK||FOXA1||STAT5A||IKZF1||NFATC1||ZNF362||HDGF||RAD21||TCF7||MTA3||ATF2||JUNB||NFIB||SP7||CEBPG||NCOA3||ZBED1||PKNOX1||YBX1||POLR2A||ZNF687||HLF||SUZ12||ZEB2||ZNF629||FOS||IKZF2||CREM||MTA2||ZNF239||ZBTB33||EED||ZNF114||ZNF207||EZH2||ZNF512B||RUNX3||ETV6||ZKSCAN1||ZNF621||GATAD2B||FOXK2||ZNF444
GH10J003435	EP300||CEBPB
GH10J003438	SPI1
GH10J004721	ATF2||ZNF217||FOXA2||CTBP1||FOXP1||PRDM6||SMARCE1||FOXA1||ZNF362||DPF2||TOE1||ZBTB21||NCOA3||SP7||JUN||CREB1||ZNF366||ZNF687||ZNF324||ZEB2||MNT||ZSCAN21||ZNF629||FOS||MZF1||ATF7||KLF8||CEBPB||RCOR1||SCRT2
GH10J004725	
GH10J003992	TCF7L2||EGR2||ZFHX2
GH10J003579	GMEB1
GH10J003995	
GH10J003991	NR2F1
GH10J003578	ZNF384||MAFG
GH10J003575	
GH10J003247	JUND||ZNF316||NFE2||PRDM6||ZNF189||SMARCE1||HDAC2||MAFK||FOXA1||ZNF384||MAFG||ZNF362||SP7||CREB1||ZNF366||POLR2A||ZEB2||KDM1A||ATF3||ZNF629||ZNF660||NFE2L2||FOS||GFI1B||ZBTB17||EP300||BACH1||PRDM1||HDAC1||ZSCAN5C||EMSY||ZNF184
GH10J004212	
GH10J003357	
