GH09J020235	BHLHE40||HLF
GH09J020242	BCL11A||TRIM22||BHLHE40||ZNF24||IKZF1||BMI1||RB1||NR2F1||ATF2||TCF12||ZNF217||PKNOX1||ARID3A||TARDBP||TBL1XR1||SPI1||IKZF2||MTA2||DPF2||RUNX3||GATAD2B||MLLT1
GH09J020035	
GH09J020038	
GH09J020243	GATA2
GH09J019799	YY1||SP1
GH09J019801	
GH09J019731	CTCF
GH09J020043	
GH09J020042	IRF4||CTCF
GH09J019680	NFE2||MAFG||MAFK||RFX1||MAFF||SREBF1||EMSY
GH09J020256	
GH09J020047	MTA2||RELB
GH09J019804	POU5F1||NANOG||POLR2A
GH09J019803	
GH09J020049	
GH09J019638	
GH09J019640	CTCF||RAD21
GH09J019642	CTCF||RAD21
GH09J020270	PKNOX1||RAD21||POLR2A
GH09J020272	
GH09J019684	
GH09J020283	
GH09J019913	PKNOX1
GH09J020064	RUNX3||SCRT2
GH09J020284	
GH09J020285	ZFP64||FOXA2||MAFF||SAP130||TEAD3||NFE2||CREM||MAFK||BCL6||SOX5||NFE2L2||HMG20B||ZNF548||ZNF644||SOX13||PPARG||NFIL3||POLR2A||RCOR2||FOXA3||TEAD1
GH09J019740	
GH09J020289	
GH09J019918	
GH09J019919	
GH09J020297	BHLHE40||FOS||CEBPB
GH09J019644	
GH09J019643	
GH09J019648	
GH09J020301	FOXA2||SP1||POU5F1||NANOG||KDM1A
GH09J020300	
GH09J020299	
GH09J019921	
GH09J019923	ZNF654||REST||CTCF||SIN3A||SMC3||YY1||RAD21||PKNOX1||ZNF143||GFI1B
GH09J019920	
GH09J019922	ZNF654||REST||CTCF||SIN3A||RAD21||SMC3||YY1||PKNOX1||ZNF143||GFI1B
GH09J020305	
GH09J019924	CEBPB||PRDM10
GH09J019749	NCOR1||IKZF1||NFIC||BHLHE40||MBD2||ARNT||MAFF||ELF1||TAL1||ZNF316||NFE2||MAFK||STAT5A||SMARCA4||MYC||FOXM1||HDAC2||NCOA1||MAFG||ZEB2||TCF12||MTA2||POLR2A||TEAD4||MEIS2||HDAC1||DPF2||ARID1B||NFATC3||CEBPB||SMARCE1||ATF1||TBL1XR1||KDM1A||ATF3||CBFA2T2||KLF16||RNF2||CTBP1||TRIM24||ZNF24||SOX6||CHAMP1||FOXK2||ATF7||BACH1||ETV6||CBX3||EP300||MEF2D||CC2D1A||AFF1||CBFA2T3||PML||NR2F1||EMSY
GH09J019746	
GH09J019743	ATF3
GH04J008432	
GH04J008445	
GH04J008450	TAL1||ETV1||EGR1||ATF4||TEAD4||ARID1B||CEBPB||MNT||CTBP1||SOX6||ATF7||CBFA2T3||CEBPG
GH04J008460	ZNF217||CTBP1||MNT
GH04J008421	PRDM1
GH04J008422	ZNF217||CTBP1||RXRA||CUX1||TCF7L2||SMARCE1||DPF2||HNF4A||NFIB||NCOA3||GATAD2B||ESRRA||EP300||RCOR1||SP1
GH04J008418	NCOR1||BCL11A||TRIM22||BHLHE40||CTBP1||MAFF||ZNF316||EBF1||SMARCA5||NFE2||MAFK||PRDM10||SMARCA4||NFE2L2||BATF||MAFG||IKZF1||BMI1||NFATC1||ATF4||ATF2||JUNB||BACH1||HDAC8||TCF12||L3MBTL2||DPF2||ARID1B||CEBPB||SMARCE1||ATF3||ZNF687||ESRRA||IKZF2||RAD51||CREM||MTA2||YY1||EED||NBN||RUNX3||ARNT||RELB||MLLT1||MGA||EMSY||HDAC2||CEBPG
GH04J008415	SCRT1||SCRT2
GH04J008408	ZIC2||SP2||PRDM10||KLF1||SP3||EGR2||ZFHX2
GH04J008484	
GH04J008482	
GH04J008399	ATF4||ATF3
GH04J008478	NCOR1||MYC||IKZF1||ZNF592||REST||BHLHE40||MNT||ARNT||NBN||TAL1||ZNF316||NUFIP1||NFE2||RELA||SKIL||PRDM10||ATF1||STAT5A||IRF9||ZNF318||SMARCA4||NCOA1||EP400||FOXK2||MAFG||ZEB2||ZC3H8||ZBTB33||NRF1||MTA2||ATF4||MAFK||NR2F6||RFX1||TEAD4||MAFF||HDAC8||L3MBTL2||MEIS2||HDAC1||DPF2||ARID1B||CREM||NFATC3||GMEB1||NR2C1||CEBPB||ZNF184||SMARCE1||TBL1XR1||ATF3||DDX20||ZNF24||TRIM24||CTBP1||SOX6||NFRKB||ATF2||RNF2||PKNOX1||NR4A1||MTA3||ATF7||GATAD2A||POLR2B||EP300||USF1||BRD9||AFF1||PML||SCRT2||MTA1||NR2F1||ZBTB44||MGA||EMSY||HDAC2||CEBPG
GH04J008404	
GH04J008402	ZNF654||IKZF1||CTCF||REST||TRIM22||RAD21||SMC3||ZNF316||SKIL||MBD1||ZNF2||MYC||MAX||POLR2A||MAFK||ZBTB33||MAFF||ZNF143||HNF4A||ZNF660||SP5||XRCC5||RB1||CC2D1A||NR2F2||EMSY
GH04J008410	ZNF654||IKZF1||ZNF600||REST||CTCF||SP2||SMAD4||RAD21||SMC3||SKIL||PKNOX1||ZBTB33||SP1||NRF1||MEIS2||HDAC1||TRIM28||ZNF687||MNT||EGR2||SP5||ZNF143||XRCC5||CTBP1||ZBTB17||TARDBP||TRIM22||MTA3||SMARCA5||ATF7||BACH1||HDGF||GATAD2B||MTA2||ZFHX2||PBX2||TEAD1||ZNF335||ZNF444
GH04J008468	ZNF654||ZNF592||CTCF||REST||TRIM22||SIN3A||ELF1||RAD21||SMC3||SKIL||SPI1||ZNF189||ETV1||ZEB2||ZC3H8||ZNF143||L3MBTL2||CEBPB||E2F4||ARID2||XRCC5||CTBP1||HDGF||YY1||SOX6||IKZF1||RB1||CC2D1A||ZNF335
