TBX4 hsa:9496
TC2N hsa:123036
TCF21 hsa:6943
TCP11L1 hsa:55346
TDGF1 hsa:6997
TDO2 hsa:6999
TDRD12 hsa:91646
TEF hsa:7008
TEK hsa:7010
TEPP hsa:374739
TGFBR3 hsa:7049
TGFBRAP1 hsa:9392
THADA hsa:63892
THAP4 hsa:51078
THBS4 hsa:7060
THOC1 hsa:9984
THOC3 hsa:84321
THSD1 hsa:55901
THYN1 hsa:29087
TIMM10 hsa:26519
TIMM23B hsa:100652748
TIMM29 hsa:90580
TINF2 hsa:26277
TLR5 hsa:7100
TM4SF4 hsa:7104
TMC4 hsa:147798
TMC5 hsa:79838
TMC7 hsa:79905
TMEM150B hsa:284417
TMEM176B hsa:28959
TMEM178A hsa:130733
TMEM192 hsa:201931
TMEM216 hsa:51259
TMEM217 hsa:221468
TMEM221 hsa:100130519
TMEM239 hsa:100288797
TMEM245 hsa:23731
TMEM255B hsa:348013
TMEM262 hsa:100130348
TMEM31 hsa:203562
TMEM81 hsa:388730
TMEM91 hsa:641649
TMPRSS3 hsa:56649
TMPRSS3 hsa:64699
TNFAIP2 hsa:7127
TNFSF4 hsa:7292
TNNT2 hsa:7139
TPPP2 hsa:122664
TPR hsa:7175
TPRX1 hsa:284355
TRA2A hsa:29896
TRAF3IP3 hsa:80342
TRHR hsa:7201
TRIM14 hsa:9830
TRIM27 hsa:5987
TRIM29 hsa:23650
TRIM49D1 hsa:399939
TRIM49D1 hsa:729384
TRIM54 hsa:57159
TRIM63 hsa:84676
TRIM64B hsa:642446
TRIM66 hsa:9866
TRNAU1AP hsa:54952
TRPC5 hsa:7224
TRPC6 hsa:7225
TRPC7 hsa:57113
TRPC7 hsa:7226
TSEN54 hsa:283989
TSLP hsa:85480
TSNAXIP1 hsa:55815
TSR1 hsa:55720
TTC1 hsa:7265
TTC12 hsa:54970
TTC24 hsa:164118
TTC31 hsa:64427
TTC9C hsa:283237
TUBB hsa:203068
TUBB hsa:7280
TUBGCP4 hsa:27229
TULP2 hsa:7288
TXNIP hsa:10628
TXNRD1 hsa:7296
TYW1 hsa:55253
U2AF1L5 hsa:102724594
UBAC1 hsa:10422
