PLSCR5 hsa:389158 
PLXNB2 hsa:23654 
PM20D2 hsa:135293 
PMM2 hsa:5373 
PNMA2 hsa:10687 
PNPLA2 hsa:57104 
PNRC2 hsa:55629 
POLDIP2 hsa:26073 
POLE hsa:5426 
POLG2 hsa:11232 
POLR1E hsa:64425 
POMP hsa:51251 
POMP hsa:51371 
PPCS hsa:79717 
PPIL6 hsa:285755 
PPM1F hsa:9647 
PPP2CA hsa:5515 
PPRC1 hsa:23082 
PRDX5 hsa:25824 
PREX2 hsa:80243 
PRKD3 hsa:23683 
PRLHR hsa:2834 
PRPF31 hsa:26121 
PRPSAP2 hsa:5636 
PRR5L hsa:79899 
PRRC1 hsa:133619 
PRRC2A hsa:7916 
PRXL2A hsa:84293 
PSKH1 hsa:5681 
PSMD8 hsa:5714 
PSTK hsa:118672 
PTCH1 hsa:5727 
PTDSS2 hsa:81490 
PTGFRN hsa:5738 
PTK7 hsa:5754 
PTN hsa:5764 
PTPN21 hsa:11099 
PTPRG hsa:5793 
PUS1 hsa:80324 
PWP2 hsa:5822 
PXN hsa:5829 
PXN hsa:7837 
PYGB hsa:5834 
QDPR hsa:5860 
QTRT2 hsa:79691 
R3HCC1 hsa:203069 
RAB38 hsa:23682 
RAB5IF hsa:55969 
RABL6 hsa:55684 
RASSF9 hsa:9182 
RAVER1 hsa:125950 
RAVER2 hsa:55225 
RBM17 hsa:84991 
RBM18 hsa:92400 
RBM24 hsa:221662 
RBM47 hsa:54502 
RCN3 hsa:11123 
RCN3 hsa:57333 
RDH5 hsa:5959 
RECQL5 hsa:9400 
RELL1 hsa:768211 
REST hsa:5978 
RFTN2 hsa:130132 
RGS16 hsa:6004 
RHEB hsa:6009 
RHEBL1 hsa:121268 
RHOBTB3 hsa:22836 
RHOG hsa:391 
RHOT2 hsa:89941 
RHOU hsa:58480 
RIOX2 hsa:84864 
RND3 hsa:390 
RNF152 hsa:220441 
RNF166 hsa:115992 
RNF2 hsa:6045 
RNF224 hsa:643596 
RNF31 hsa:55072 
RPP21 hsa:79897 
RSAD1 hsa:55316 
RSL1D1 hsa:26156 
RTN3 hsa:10313 
RUFY1 hsa:80230 
RWDD1 hsa:51389 
RXRB hsa:6257 
RYR1 hsa:6261 
SAP30BP hsa:29115 
SASS6 hsa:163786 
SATB2 hsa:23314 
SAV1 hsa:60485 
SCAF11 hsa:9169 
SCCPDH hsa:51097 
SCRIB hsa:23513 
SCUBE3 hsa:222663 
SDHAF4 hsa:135154 
SEC24D hsa:9871 
SEL1L3 hsa:23231 
SELENBP1 hsa:8991 
SELENOK hsa:58515 
SELENOS hsa:55829 
SELENOW hsa:6415 
SEMA3B hsa:7869 
SEPTIN10 hsa:151011 
SEPTIN2 hsa:4735 
SEPTIN6 hsa:23157 
SERINC2 hsa:347735 
SERTAD3 hsa:29946 
SFXN2 hsa:118980 
SH3D19 hsa:152503 
SIL1 hsa:64374 
SIX1 hsa:6495 
SIX2 hsa:10736 
SKIV2L hsa:6499 
SLC12A7 hsa:10723 
SLC16A9 hsa:220963 
SLC1A3 hsa:6507 
SLC22A15 hsa:55356 
SLC25A18 hsa:83733 
SLC26A2 hsa:1836 
SLC2A10 hsa:81031 
SLC2A4RG hsa:56731 
SLC30A6 hsa:55676 
SLC30A8 hsa:169026 
SLC35F3 hsa:148641 
SLC39A8 hsa:64116 
SLC47A1 hsa:55244 
SLC4A2 hsa:6522 
SLX1A hsa:548593 
SLX1B hsa:79008 
SMARCD2 hsa:6603 
SMIM15 hsa:643155 
SNX18 hsa:112574 
SNX24 hsa:28966 
SNX25 hsa:83891 
SNX5 hsa:27131 
SORBS3 hsa:10174 
SORCS1 hsa:114815 
SORCS2 hsa:57537 
SOSTDC1 hsa:25928 
SOX15 hsa:6665 
SOX7 hsa:83595 
SP110 hsa:3431 
SP110 hsa:5376 
SPAG17 hsa:200162 
SPART hsa:23111 
SPDL1 hsa:54908 
SPPL2A hsa:84888 
SPPL2B hsa:56928 
SQLE hsa:6713 
SREBF1 hsa:6720 
SREBF2 hsa:6721 
SRPX hsa:8406 
SS18 hsa:6760 
SSBP4 hsa:170463 
SSX2IP hsa:117178 
ST20-MTHFS hsa:100528021 
STARD3NL hsa:83930 
STK11 hsa:6794 
STPG3 hsa:441476 
STRA6 hsa:64220 
STT3B hsa:201595 
STX2 hsa:2054 
SULT1A2 hsa:6799 
SULT1C2 hsa:27233 
SULT1C2 hsa:6819 
SUMO3 hsa:6612 
SUMO3 hsa:6613 
SUSD5 hsa:26032 
SYNGAP1 hsa:8831 
TAB2 hsa:23118 
TADA3 hsa:10474 
TAF5L hsa:27097 
TANC1 hsa:85461 
TAP2 hsa:266629 
TAP2 hsa:6891 
TARBP2 hsa:6895 
TAX1BP3 hsa:30851 
TBC1D13 hsa:54662 
TBC1D3L hsa:101060376 
TBC1D3L hsa:414059 
TBC1D3L hsa:729873 
TBC1D9B hsa:23061 
TBCB hsa:1155 
TBL1Y hsa:90665 
TBX2 hsa:6909 
TCEAL7 hsa:56849 
TCF7L2 hsa:6934 
TDRKH hsa:11022 
TEAD1 hsa:7003 
TELO2 hsa:9894 
TET1 hsa:80312 
TFAP4 hsa:7023 
TFPT hsa:29844 
TGIF1 hsa:7050 
THAP12 hsa:5612 
THOP1 hsa:7064 
THPO hsa:7066 
THRB hsa:7068 
THTPA hsa:79178 
TIGD2 hsa:166815 
TIGD4 hsa:201798 
TJP1 hsa:7082 
TM2D2 hsa:83877 
TMEM123 hsa:10360 
TMEM123 hsa:114908 
TMEM126B hsa:55863 
TMEM129 hsa:92305 
TMEM138 hsa:51524 
TMEM150A hsa:129303 
TMEM183A hsa:92703 
TMEM200B hsa:399474 
TMEM241 hsa:85019 
TMEM267 hsa:64417 
TMEM41A hsa:90407 
TMEM94 hsa:9772 
TMF1 hsa:7110 
TMPRSS5 hsa:80975 
TMSB4Y hsa:9087 
TMX1 hsa:81542 
TNFAIP3 hsa:7128 
TNFRSF13C hsa:115650 
TNFRSF19 hsa:55504 
TNKS1BP1 hsa:85456 
TNPO1 hsa:3842 
TOR1A hsa:1861 
TP53I13 hsa:90313 
TPRA1 hsa:131601 
TRABD hsa:80305 
TRAM1 hsa:23471 
TRAPPC2B hsa:10597 
TRAPPC2B hsa:284306 
TRIL hsa:9865 
TRIM41 hsa:90933 
TRIM47 hsa:91107 
TRIM59 hsa:286827 
TRIM65 hsa:201292 
TRIM69 hsa:140691 
TRMT5 hsa:57570 
TRPV6 hsa:55503 
TSEN34 hsa:79042 
TSKU hsa:25987 
TSPAN12 hsa:23554 
TSPAN17 hsa:26262 
TTC23 hsa:64927 
TUBA3D hsa:113457 
TUBB hsa:203068 
TUBB hsa:7280 
TWSG1 hsa:57045 
TXNIP hsa:10628 
U2AF2 hsa:11338 
UBE2F hsa:140739 
UBE2N hsa:7334 
UCKL1 hsa:54963 
UIMC1 hsa:51720 
UNCX hsa:340260 
UQCRQ hsa:27089 
UROD hsa:7389 
USP28 hsa:57646 
UTP15 hsa:84135 
VAMP8 hsa:8673 
VDAC2 hsa:7417 
VEGFC hsa:7424 
VPS52 hsa:6293 
VRK2 hsa:7444 
VRK3 hsa:51231 
