InputTerm,Symbol,GHIDs,GHtype,NumGenesAway,OtherGeneTargets,Score,Sources,TFBSs,TSSdistance
AGXT2L1,ETNPPL,GH04J109179,Enhancer,12,FJ601684-352||COL25A1||lnc-ETNPPL-2||HE856226,0.04144593,Ensembl,,-416947
AGXT2L1,ETNPPL,GH04J109294,Enhancer,13,COL25A1||COL25A1-DT||lnc-ETNPPL-2||FJ601684-352,0.02841505,Ensembl,CTCF||REST||RAD21||TRIM22||NFE2||SMC3||YY1||ELF1||SPI1||ZNF654||ZNF143||NFE2L2||CHAMP1||CC2D1A,-531737
AGXT2L1,ETNPPL,GH04J109046,Enhancer,12,HE856226||COL25A1||lnc-ETNPPL-2||FJ601684-352,0.05883214,ENCODE,JUND||PKNOX1||HDAC1||EP300||CEBPB||FOXK2||NR2F2||CEBPG||IRF2||MNT||ZNF592||BHLHE40||DPF2||NFATC3||MEIS2||IKZF1||ZBTB40||KDM1A||L3MBTL2||CBFA2T3||ARID1B||ATF1||SMARCA4,-283796
AGXT2L1,ETNPPL,GH04J109044,Enhancer,12,HE856226||FJ601684-352||COL25A1||lnc-ETNPPL-2,0.05883214,Ensembl,,-281747
AGXT2L1,ETNPPL,GH04J109184,Enhancer,12,FJ601684-352||COL25A1||lnc-ETNPPL-2||HE856226,0.04292112,Ensembl||ENCODE,IKZF1||JUND||DPF2||EP300||MGA||CTBP1||ZBTB2||HDGF||USF1||MNT||MYC||EP400||TRIM28||NR2F2||TBP||TFDP1||ZNF592||TAL1||CREM||NR2F6||HDAC2||ATF3||KLF1||TCF12||ATF1||ATF2||SMARCE1||NANOG||L3MBTL2||TEAD4||USF2||ATF7||BCL6B||ZBTB6||TRIM24||CBFA2T3||ARID1B||SMARCA4,-422247
AGXT2L1,ETNPPL,GH04J109182,Enhancer,12,FJ601684-352||COL25A1||lnc-ETNPPL-2||HE856226,0.04292112,Ensembl,,-420047
AGXT2L1,ETNPPL,GH04J109300,Promoter/Enhancer,15,COL25A1||COL25A1-DT||lnc-ETNPPL-2||RBMXP4,0.02925801,Ensembl||ENCODE||CraniofacialAtlas,PRDM10||KDM1A||ZNF692||PRDM1||ZIC2||POLR2A||PATZ1||ZNF501||EZH2||ZNF341||SCRT2||ZBTB20||SP2||RAD21||ZNF524||CHD2||ZBTB48||ZBTB26||ZBTB17||YY1||GTF2F1||ZNF423||SCRT1||MAX||ZBTB11||ZFHX2||KLF8||ZNF777||ZNF189||ZNF335||ZNF610||TBP||TCF7L2||KLF17||ZNF366||ZNF324||GLIS1||TRIM28||ZNF398||ZNF2||KLF16||ZBTB33||ZFP37||SP3||NRF1||REST||TAF1||BACH1||L3MBTL2||GATA2||SP7||GLIS2||ZBTB8A,-539376
AGXT2L1,ETNPPL,GH04J109112,Enhancer,12,HE856226||FJ601684-352||COL25A1||lnc-ETNPPL-2,0.04906777,CraniofacialAtlas,,-349891
AGXT2L1,ETNPPL,GH04J109052,Enhancer,12,HE856226||COL25A1||FJ601684-352||lnc-ETNPPL-2||COL25A1-DT,0.05907801,Ensembl,,-289247
AGXT2L1,ETNPPL,GH04J109053,Enhancer,12,HE856226||lnc-ETNPPL-2||FJ601684-352||COL25A1||COL25A1-DT,0.05567101,Ensembl,PKNOX1||EZH2||BRD9||SOX6||NFE2||ZNF316||MAFG||MAFK||NFATC3||MEIS2||MAFF||EMSY,-290047
AGXT2L1,ETNPPL,GH04J109206,Enhancer,12,FJ601684-352||lnc-ETNPPL-2||COL25A1||SEC24B-AS1||HE856226,0.03930338,Ensembl||ENCODE||CraniofacialAtlas,PRDM10||ZNF629||ZNF692||PRDM1||ZIC2||PATZ1||ZNF501||ZNF600||ZNF341||ZNF561||ZBTB44||ZNF639||ZNF10||ZXDB||CTBP1||TSHZ1||CEBPB||ZSCAN5C||CHD2||OSR2||ZNF580||BCL11A||RCOR1||ZBTB48||ZBTB17||ZNF423||ATF2||NFIC||EP300||WT1||ZFHX2||KLF8||ZNF189||RFX5||ZNF335||ZNF610||STAT3||PRDM4||ZNF213||ZFP69B||KLF17||ZNF18||ZSCAN16||HIC1||ZNF366||ZNF843||ZSCAN23||VEZF1||FEZF1||BCL11B||PRDM6||ZNF324||ZNF660||GLIS1||TRIM28||ZNF398||ZNF2||ZNF24||KDM1A||ZNF664||ZEB2||KLF10||MAFF||SP3||INSM2||ZBTB21||EGR2||GFI1B||ZNF19||BCL6B||MZF1||ZNF488||SP7||ZSCAN21||ZBTB8A||PKNOX1,-444193
AGXT2L1,ETNPPL,GH04J109205,Enhancer,12,FJ601684-352||lnc-ETNPPL-2||COL25A1||HE856226,0.03930338,CraniofacialAtlas,YY1||HCFC1||ZNF143||SIX5,-442191
AGXT2L1,ETNPPL,GH04J109122,Enhancer,12,HE856226||FJ601684-352||lnc-ETNPPL-2||COL25A1,0.0488219,FANTOM5,,-359560
AGXT2L1,ETNPPL,GH04J109211,Enhancer,13,FJ601684-352||COL25A1||COL25A1-DT||lnc-ETNPPL-2,0.04095419,ENCODE,CEBPB||EP300,-448866
AGXT2L1,ETNPPL,GH04J109212,Enhancer,13,FJ601684-352||COL25A1||COL25A1-DT||lnc-ETNPPL-2,0.04095419,Ensembl,EP300||CEBPB,-449047
AGXT2L1,ETNPPL,GH04J109125,Enhancer,12,HE856226||FJ601684-352||lnc-ETNPPL-2||COL25A1||PLA2G12A||RPL34,0.04938387,Ensembl,IKZF1||PKNOX1||DPF2||ZBTB20||NFE2||ZSCAN29||ZNF316||MAFG||MAFK||ZNF592||CEBPB||ATF3||ETV1||PRDM10||KDM1A||ZEB2||MEIS2||ATF2||MAFF||BACH1||ATF7||ELF1||ARID1B||EMSY||GMEB1||SMARCA4,-362347
AGXT2L1,ETNPPL,GH04J109214,Enhancer,13,FJ601684-352||COL25A1||COL25A1-DT||lnc-ETNPPL-2,0.04197278,Ensembl||ENCODE,ATF7||NFE2||ATF2||NFIC||ZNF366||JUN||JUND,-452447
AGXT2L1,ETNPPL,GH04J109068,Enhancer,12,HE856226||FJ601684-352||COL25A1||lnc-ETNPPL-2,0.0572867,Ensembl,,-303847
AGXT2L1,ETNPPL,GH04J109069,Enhancer,12,HE856226||FJ601684-352||COL25A1||lnc-ETNPPL-2,0.0572867,Ensembl,,-304247
AGXT2L1,ETNPPL,GH04J109066,Enhancer,12,HE856226||FJ601684-352||COL25A1||lnc-ETNPPL-2,0.0572867,Ensembl,,-303347
AGXT2L1,ETNPPL,GH04J109065,Enhancer,12,HE856226||FJ601684-352||COL25A1||lnc-ETNPPL-2,0.0572867,ENCODE,,-302106
AGXT2L1,ETNPPL,GH04J109358,Enhancer,19,RBMXP4||RF00017-4386||COL25A1||SEC24B||SEC24B-AS1,10.41768,Ensembl,RUNX3,-596147
AGXT2L1,ETNPPL,GH04J109361,Enhancer,19,RBMXP4||RF00017-4386||COL25A1||SEC24B||SEC24B-AS1,10.41768,Ensembl,,-598047
AGXT2L1,ETNPPL,GH04J109067,Enhancer,12,HE856226||FJ601684-352||COL25A1||lnc-ETNPPL-2,0.05644373,Ensembl||ENCODE,ZNF512||IKZF1||CEBPB||CHD2||JUN||RCOR1||JUND||MAX||EP300||RAD21||CEBPG||STAT3||TCF7L2||USF2,-305039
AGXT2L1,ETNPPL,GH04J109072,Enhancer,12,HE856226||lnc-ETNPPL-2||FJ601684-352||COL25A1,0.05644373,Ensembl||ENCODE,CEBPG||PRDM10||ZNF692||ZIC2||CEBPB||JUN||RCOR1||JUND||MAX||EP300||RFX5||STAT3||TCF7L2||NFE2L2||ZNF398,-309746
AGXT2L1,ETNPPL,GH04J109232,Enhancer,13,FJ601684-352||lnc-ETNPPL-2||COL25A1||COL25A1-DT,0.03968975,ENCODE,,-469768
AGXT2L1,ETNPPL,GH04J109146,Enhancer,12,FJ601684-352||HE856226||COL25A1||lnc-ETNPPL-2,0.04471243,Ensembl||CraniofacialAtlas,,-383847
AGXT2L1,ETNPPL,GH04J109078,Enhancer,12,HE856226||FJ601684-352||COL25A1||lnc-ETNPPL-2,9.599241,Ensembl||ENCODE,PRDM10||ZNF600||ZXDB||CEBPB||OSR2||JUN||FOS||ZBTB17||JUND||EP300||BCOR||RAD21||MAFK||PRDM6||IKZF1||ZMYM3||SP7||ZSCAN21,-316364
AGXT2L1,ETNPPL,GH04J109154,Enhancer,12,FJ601684-352||HE856226||COL25A1||lnc-ETNPPL-2,0.04537978,CraniofacialAtlas,,-391291
AGXT2L1,ETNPPL,GH04J109155,Enhancer,12,FJ601684-352||HE856226||COL25A1||lnc-ETNPPL-2,0.04537978,CraniofacialAtlas,PKNOX1||POLR2A||NFIC||PRDM6||MEIS2,-392991
AGXT2L1,ETNPPL,GH04J109159,Enhancer,12,FJ601684-352||lnc-ETNPPL-2||HE856226||COL25A1,0.04752232,CraniofacialAtlas,,-396491
AGXT2L1,ETNPPL,GH04J109265,Enhancer,13,lnc-ETNPPL-2||FJ601684-352||COL25A1||COL25A1-DT,0.02918777,Ensembl,SCRT2,-502947
AGXT2L1,ETNPPL,GH04J109088,Enhancer,12,HE856226||FJ601684-352||COL25A1||lnc-ETNPPL-2,0.0514913,Ensembl,,-325747
AGXT2L1,ETNPPL,GH04J109163,Enhancer,12,FJ601684-352||HE856226||COL25A1||lnc-ETNPPL-2||RPL34,0.04492317,Ensembl,TEAD4||ZNF24||CEBPB,-400847
