GH16J089089	MYC||NCOR1||IKZF1||NFIC||MXD4||KLF11||HES1||BHLHE40||ZFP64||KMT2B||RAD51||THAP11||TAL1||RARA||GABPB1||TEAD3||ZSCAN9||DRAP1||BCL6||KDM1A||STAT5A||MYRF||SOX5||HDAC2||MXD3||TCF12||MTA2||TEAD4||ELF3||RXRB||L3MBTL2||NFIA||DPF2||ARID1B||MLX||MIXL1||GATAD2A||SP5||CBFA2T2||KLF16||RNF2||TRIM24||CTBP1||ZBTB26||SOX6||TFDP1||GABPA||BCOR||MNT||EP300||TFE3||AFF1||TARDBP||CBFA2T3||KLF6||SMARCA4||MGA||ERF
GH16J089079	JUND||ATF2||CREB1||ATF7||MNT
GH16J089071	REST||ELF1||ZMYM3||GATA2||POLR2A||CTCF||CHD2||BCOR||CC2D1A||SMARCA5
GH16J089106	ZNF316||MAFK
GH16J089104	ZIC2||BCL11A||ZNF217||MBD2||CTBP1||EBF1||SIN3A||BHLHE40||BATF||MAZ||IKZF1||HDGF||NR2F1||DPF2||MTA3||NCOA3||POLR2A||ZNF687||MNT||CREB1||RAD21||MTA1||CREM||IKZF2||TCF12||RUNX3||RELB||RCOR1
GH16J089105	ZNF217||MBD2||CTBP1||SIN3A||SMARCE1||PKNOX1||CTCF||MAZ||IKZF1||DPF2||NCOA3||POLR2A||ZNF687||MNT||CREB1||RAD21||MTA1||RCOR1
GH16J089108	
GH16J089067	ZIC2||CEBPB||EBF1||NRF1||NFIB||GLIS1||CREB1||GLIS2
GH16J089111	ZNF366
GH16J089110	
GH16J089066	EBF1||BHLHE40||ELF1||IKZF1||EGR2||ZNF692||SPI1||MTA2||DPF2||ZFHX2||GATAD2B||EGR1
GH16J089064	GATAD2B||MLLT1
GH16J089046	ZNF513||CREB1
GH16J089047	NRF1||RBFOX2
GH16J089048	
GH16J089124	POLR2A||NFATC1
GH16J089049	HNRNPL||EGR2||SP5||PRDM10||RBFOX2||ZFHX2||SCRT2
GH16J089059	SP1||ZNF592||TRIM22||NR2C1||ZNF316||EBF1||MAX||TAF1||BHLHE40||BATF||IKZF1||HCFC1||HDGF||NR2F1||STAT1||GLIS1||POLR2A||ZNF217||PKNOX1||TARDBP||SPI1||ZNF687||RAD51||CREM||MTA2||YY1||TCF12||NBN||RUNX3||MNT||FOXK2||RELB||GATAD2B||MLLT1
GH16J089035	NCOR1||REST||IRF9||SMARCA4||EHMT2||HDAC2||EGR1||DPF2||SMARCE1||KDM1A||ZNF24||SOX6||FOXK2||AFF1||CBFA2T3||MTA1||HDAC1||MIER1||ZNF444
GH16J089037	REST||BHLHE40||MNT||SIN3A||SMAD4||SAP130||YY1||ZSCAN9||MYNN||EHMT2||MAX||HDAC2||RCOR1||MXD3||HBP1||ZNF48||MIER2||ZNF792||ZNF143||RXRB||ARID4B||RUNX1||RAD21||CTBP1||LARP7||NR4A1||ZGPAT||TFE3||AFF1||ZBTB25||KLF6||MIER1||ERF
GH16J089031	BCLAF1||BCL11A||ZFP64||IRF4||CBFB||BHLHE40||SPI1||MYC||MAX||POLR2A||ELF1||IKZF1||HDGF||NR2F1||REST||ATF2||BACH1||TCF12||ZNF687||IKZF2||EED||LARP7||NBN||DPF2||RUNX3||ETV6||RELB||GATAD2B||MLLT1
GH16J089178	ZIC2
GH16J088995	NR2F6||NR2F1||EMSY
GH16J089182	
GH16J089025	ZNF207||MYC||NCOR1||JUND||ZNF592||BCL11A||CEBPB||TRIM22||MAX||EP300||NBN||TAL1||ELF1||STAT3||ZNF316||EBF1||FOSL2||NFE2||SKIL||ATF1||STAT5A||BHLHE40||SMARCA4||EHMT2||ETV1||HDAC2||NCOA1||ZNF24||ZNF384||MAFG||ZEB2||ZC3H8||IKZF1||NRF1||BMI1||NR2F1||ATF4||MAFK||TEAD4||MAFF||JUNB||BACH1||ZBTB40||TCF12||L3MBTL2||MEIS2||HDAC1||JUN||DPF2||ARID1B||PKNOX1||CREM||NFATC3||GMEB1||CREB1||NR2C1||GABPB1||CUX1||SMARCE1||TARDBP||TBL1XR1||ATF3||KDM1A||ZNF687||FOS||RNF2||IKZF2||RAD51||MTA1||TRIM24||CTBP1||MTA2||SOX6||ZNF512||ATF2||RUNX3||ETV6||ATF7||LEF1||GATAD2A||ARNT||CBX3||RELB||GATAD2B||AFF1||CBFA2T3||PML||MLLT1||ZBTB2||MGA||EMSY||CEBPG
GH16J089024	IKZF1||TAL1||HDAC2||ARID1B||SOX6||HMBOX1||CBFA2T3||HDAC1
GH16J088999	MYC||ZNF592||BHLHE40||MNT||NBN||NKRF||ZFP91||ZNF318||SMARCA4||HDAC2||NCOA1||EP400||ZEB2||ZBTB33||EGR1||RLF||TEAD4||ARNT||KLF1||L3MBTL2||MEIS2||HDAC1||DPF2||ARID1B||CREM||GMEB1||ZNF184||SMARCE1||ATF1||ATF3||CBFA2T2||RNF2||TRIM24||CTBP1||PKNOX1||RUNX3||NR4A1||MTA3||ATF7||CBX3||EP300||MTA2||CBFA2T3||MTA1||ZBTB2||MIER1||MGA
GH16J089154	SSRP1||ZIC2||BHLHE40||MNT||ZNF217||MBD2||CTBP1||TEAD3||POLR2A||FOSL2||SIN3A||SMARCE1||PKNOX1||CTCF||ZBTB33||DPF2||TOE1||NCOA3||GLIS1||NFRKB||PHF20||CREB1||ZNF184||PAF1||GATAD2B||ZNF687||HNRNPL||ESRRA||RAD21||EP300||ZBTB26||ZNF579||TARDBP||GTF2F1||SMARCA5||ZSCAN29||POLR2B||NR2F2||ELK1
GH16J089020	BCLAF1||MYC||IKZF1||ZNF592||BCL11A||REST||TRIM22||TBP||MNT||IRF4||ZNF316||NFE2||MAFK||HLTF||BHLHE40||MLLT1||SMARCA4||EHMT2||NFE2L2||HDAC2||BATF||EP400||FOXK2||MAFG||SP1||NRF1||BMI1||HDGF||NR2F1||ZNF143||MAFF||JUNB||BACH1||L3MBTL2||MEIS2||HDAC1||DPF2||ZNF217||ARID1B||GMEB1||SMARCE1||TARDBP||ATF1||ATF3||KDM1A||RNF2||IKZF2||RAD51||TRIM24||CTBP1||MTA2||SOX6||EED||TCF12||NBN||PKNOX1||RUNX3||NR4A1||MTA3||ATF7||ARNT||EP300||RELB||GATAD2B||CBFA2T3||ZBTB2||EMSY
GH16J089018	GABPB1||ATF4||ZBTB40||L3MBTL2||CREM||TRIM24||GABPA||MNT||MTA1||MGA
GH16J089163	IKZF1||NCOR1||NFIC||TAL1||STAT5A||HDAC2||TCF12||MTA2||NR2F6||TEAD4||GATA2||HDAC1||ARID1B||PHF21A||KDM1A||CBFA2T2||KLF16||EP300||CBFA2T3||NR2F1
GH16J089166	SP1||ZNF207||NCOR1||IKZF1||ZNF654||MYC||SSRP1||KLF9||ZBTB10||MXD4||NONO||CTCF||REST||KLF11||TARDBP||TRIM22||CHD2||BHLHE40||ZNF341||ZFP64||HOMEZ||MNT||ZBTB7B||ZNF217||SIN3A||KMT2B||THAP11||ELF1||CTBP1||SIN3B||HCFC1||NBN||SMAD4||ZNF511||SAP130||RAD21||SMC3||MLLT1||MIER3||RARA||DMAP1||GABPB1||TEAD3||ZSCAN9||DDX20||THRB||ZNF843||SMARCA5||SKIL||BCL11B||MYNN||KLF16||DRAP1||MBD1||BCL6||PRDM10||ZNF205||KDM1A||HLTF||ZBTB48||SOX5||ZNF2||ETV1||MAX||HMG20A||MAZ||RCOR1||MXD3||ZEB2||HBP1||ZC3H8||EGR1||ZBTB33||RBPJ||NRF1||GATAD1||RB1||ZNF48||MIER2||HMG20B||HDGF||NR2F1||NFYC||ZNF792||ZNF143||STAT1||NR2F6||GLIS1||ELF3||IKZF5||RXRB||ZBTB40||ZNF398||CEBPG||PRDM4||NFIA||HDAC1||ZKSCAN1||DPF2||ARID4B||CREM||KDM3A||GMEB1||ZBTB7A||ARID3A||KLF5||ZNF580||KLF1||ZNF644||PPARG||ZNF366||NFIL3||PHF21A||ZBTB8A||GATAD2B||ZXDB||ATF1||MLX||TBL1XR1||ARID2||HNRNPL||ZNF629||TGIF2||MIXL1||ZNF692||GATAD2A||ZNF660||SP5||KDM4B||NFKBIZ||CREB1||XRCC5||RFX1||IRF2||PATZ1||ESRRA||TRIM24||MTA1||ZBTB17||ZBTB26||YY1||SOX6||ZKSCAN8||KAT8||IRF3||TCF12||GLIS2||EED||TFDP1||BCL11A||POLR2A||LARP7||SOX13||PHF8||RUNX3||ZHX2||NR4A1||KLF8||MTA3||GABPA||GTF2F1||TCF7||BCOR||ATF7||ZNF501||ZBED1||PRDM2||RCOR2||RERE||ARNT||TSHZ1||MEF2D||FOXA3||ZGPAT||RFXANK||TFE3||CC2D1A||BRD9||KLF17||CHD1||TEAD1||HIC1||ZBTB44||SREBF2||KLF6||DNMT3B||ELK1||WT1||HDAC2||ZNF444||ERF
GH16J089165	EGR1||ZFHX2
GH16J089003	NCOR1||MYC||IKZF1||ZNF592||NFIC||ZIC2||NONO||REST||HES1||BHLHE40||MBD2||MNT||ARNT||NFATC3||TAF9B||HCFC1||NBN||TARDBP||NKRF||TAL1||EBF1||NFE2||SKIL||NCOA2||MYNN||PTBP1||PRDM10||HLTF||STAT5A||IRF9||MLLT1||CBX1||ZNF318||MCM7||SMARCA4||EHMT2||ETV1||FOXM1||RAD51||HDAC2||NCOA1||EP400||ZNF384||FOXK2||ZC3H8||EGR1||DIDO1||NRF1||TCF12||MTA2||NR2F1||ARHGAP35||RLF||MAFK||NR2F6||POLR2A||TEAD4||E2F7||CSDE1||HDAC8||ZBTB40||KLF1||L3MBTL2||MEIS2||GATA2||HDAC1||ELK1||PYGO2||DPF2||ARID1B||RUNX1||CREM||PHF20||GMEB1||TEAD2||NR2C1||CEBPB||NCOA6||ZNF184||SMARCE1||PHF21A||ATF1||TBL1XR1||ZC3H11A||KDM1A||ATF3||DACH1||KDM4B||KHSRP||CBFA2T2||DDX20||KLF16||LEF1||ZNF24||GTF2F1||RNF2||TRIM24||CTBP1||SOX6||EED||CHAMP1||PKNOX1||NR4A1||MTA3||RB1||ZKSCAN1||TCF7||TRIM28||BCOR||ATF7||ZBED1||GATAD2A||ZSCAN29||GATAD2B||CBX3||EP300||MEF2D||CBX5||NR2F2||CC2D1A||ZBTB5||BRD9||NFXL1||AFF1||CBFA2T3||SMARCA5||PML||MTA1||ZBTB2||MIER1||MGA||HDGF||THRA||PHB2||XRCC5||E2F1
GH16J089169	
GH16J089004	IKZF1||ZNF592||ZIC2||BHLHE40||MNT||RAD51||TOE1||ZBTB40||L3MBTL2||KLF1||CTBP1||USF2||NR4A1||RB1||USF1||SMARCA5||HDAC1||MGA||HDGF
GH16J089012	
GH16J089015	MNT
GH16J088988	NKRF||ZBTB33||ARID1B||ZNF24||ZNF512||CREB1||PKNOX1||NR2C1||SMARCA5||HDAC2
