GH04J185002	GATAD2A||TFE3||NFKBIZ||RXRB||IRF2||GABPA||CEBPA||KMT2B||SOX13||CEBPB||ZKSCAN8||TGIF2||ZBTB25||MBD1||ZNF205||TEAD1||ZSCAN9||SAP130||CEBPG||MIER3||GABPB1||KLF6||ZGPAT||DRAP1||SMAD4||BCL6||HOMEZ||NFIL3||IKZF5||THAP11||ARID4B||ETV4||TEAD3||NR2F6||KDM3A||KLF16||MIER2||RAD21||SOX5||HLF||ELF1||ELF3||FOXA3||ZNF644||ERF||KAT8||RERE
GH04J185005	HNRNPL||CTCF||ZNF143||REST||RAD21||TRIM22||CBX3||UBTF||SMC3||MYC||NFIC||PRDM4||ZNF384||ZNF654||RB1||ZNF660||MBD1||YY1||ZNF580||RXRA||XRCC5
GH04J184968	ZNF217||HNF4A||RXRA||KLF1
GH04J184960	GATAD2A||ZNF7||SP1||CEBPA||SOX13||ATF3||YY1||KDM6A||JUND||FOXP1||NR2F2||ZNF792||RAD21||SMAD4||BCL6||HNF4A||RXRA||RARA||KDM1A||MAX||NR2F6||ZNF48||MIER2||REST||HNF4G||SOX5||FOXA1||ZNF580||ELF3||FOXA3||CEBPG||ZNF644
GH04J184957	WT1||ZNF843||SP7
GH04J185019	EZH2||ZNF341||ZBTB26||ZNF398||L3MBTL2
GH04J184419	KDM1A||STAT3||RELA||IKZF2||YY1||PKNOX1||EED||DPF2||RELB||RUNX3||GATAD2B||BCLAF1||TCF12||IKZF1||BCOR||BMI1||CHD1||IRF4||BATF||STAT1||EBF1||MAZ||RB1||TBP||TBL1XR1||ATF2||TBX21||ZMYM3||TCF7||ZNF217||IRF5||ZNF24||NKRF||ZNF687||SPI1||MLLT1||ZBTB33
GH04J185099	CTCF||TBP
GH04J184398	TEAD4||PRDM10||ZNF692||RELA||SP1||EED||CTCF||RELB||CEBPB||GATAD2B||ESR1||EZH2||NFE2||FOXA2||ZNF316||CHD2||JUN||ATF3||RCOR1||FOS||YY1||GTF2F1||JUND||POLR2A||MAFG||MAX||EP300||FOSL2||NR2F1||RFX5||BHLHE40||STAT1||STAT3||ZFP69B||TCF7L2||MAFK||EBF1||RAD21||ZNF768||NFE2L2||HNF4A||RXRA||MAFF||REST||ZMYM3||TAF1||FOXA1||EMSY
GH04J184374	SCRT2||ARID3A||JUND||RUNX3||CBFB||JUNB||SPI1||BATF||ATF2||FOS||ATF7||SP7||ETV6
GH04J184361	GATAD2A||TFE3||SOX13||RCOR2||RXRB||TCF12||IRF2||SP1||GABPA||PBX2||CEBPA||FOXK2||MNT||DPF2||RUNX3||RNF2||FOXA2||TGIF2||KAT7||ATF3||YY1||MAX||ZBTB25||MBD1||ZBTB33||TEAD1||TFDP1||KDM6A||CREM||NR2F2||FOXP1||TBX3||ZSCAN9||IKZF1||SAP130||TBP||NR2F1||MIER3||GABPB1||ZNF511||KLF6||ZGPAT||MXD4||DNMT3B||GATAD1||RAD21||DRAP1||CEBPB||SMAD4||BCL6||HOMEZ||TFAP4||HNF4A||MXI1||NFIL3||RXRA||THAP11||ZNF3||RARA||DMAP1||TBX21||THRB||ARID4B||ETV4||KDM1A||TEAD3||ATF2||HMG20A||MTA2||NR2F6||HDAC2||KLF16||REST||SOX5||ARID3A||HBP1||RBPJ||GATA4||ELF3||FOXA3||MLX||EGR1||CEBPG||MIXL1||PPARG||CREB1||HNF1A||ERF||KAT8||RERE
GH04J184357	ZNF7||CBX3||NFE2||TRIM28||ZNF26||TRIM24
GH04J184338	RFX1||SIX5||DDX20||MTA2||ZNF24||ZNF740||ELK1||FOXJ2||CEBPA||ZNF766||HMBOX1||EGR1||NFE2||GATAD2A||E2F5||NR2C2||ZBTB11||GABPA||MEF2D||ZNF592||FOSL1||MAFG||GTF2A2||CUX1||STAT5A||RELA||ZNF644||CEBPG||TFDP1||HDAC8||STAT1||ZNF395||ZNF584||JUND||DPF2||ZNF589||NUFIP1||ZNF687||CEBPB||VEZF1||RXRA||KLF1||ZNF507||ETV1||ID3||ZBTB33||DIDO1||IRF9||TAF7||SP1||TEAD2||HDGF||ZNF197||USF2||PYGO2||ZNF354B||NR4A1||BACH1||ESRRA||NR2C1||NRF1||ZNF148||CAVIN1||CSDE1||MLLT1||ZBTB40||ZKSCAN8||ZNF639||PTTG1||ATF1||ZNF83
GH04J184334	
GH04J184326	SP1||RCOR2||POLR2A||BACH1||FOXA1||STAT3||ZNF143||RELA||SMAD5||RAD21||TCF12||IKZF2||RCOR1||TRIM22||PKNOX1||EED||SIN3A||ELK1||DPF2||RELB||CEBPB||RUNX3||GATAD2B||BCLAF1||FOXA2||YY1||ZNF592||SMC3||ZNF217||BCL11A||ARNT||ELF1||NBN||ZSCAN9||USF2||HDGF||TARDBP||IKZF1||BMI1||SAP130||ESR1||NR2F1||JUNB||BHLHE40||CHD1||SPI1||ZNF384||SMARCA5||IRF4||BATF||EBF1||MAZ||KLF5||HNF4A||TBP||TBL1XR1||NFIL3||RXRA||ATF2||NFIA||TBX21||ZNF24||MAX||ATF7||TAF1||NFATC1||MTA2||NR2F6||MTA3||KDM1A||HLF||HCFC1||FOXA3||ZNF687||ETV6||ZBED1||CREM||MLLT1||RAD51
GH01J045541	SP1||GATAD2A||PRDM10||TFE3||IKZF1||RCOR2||ZNF7||STAT3||RELA||PKNOX1||RXRB||TCF12||IRF2||IKZF2||RCOR1||TRIM22||HDAC1||GABPA||PBX2||YY1||CEBPA||EED||SOX13||ETS1||ARID3A||ZSCAN29||ELK1||UBTF||DPF2||RELB||RUNX3||GATAD2B||ZBTB26||FOXA2||TGIF2||POLR2A||ASH2L||BCLAF1||CBFB||MAFF||NR2C2||EP300||ZBTB25||MNT||ZBTB33||ZNF205||TEAD1||KDM6A||JUND||BCL11A||ARNT||CREM||NR2F2||ELF1||NBN||HDGF||ZFHX2||ZNF792||BMI1||SAP130||TBP||NR2F1||CEBPG||JUNB||MIER3||SPI1||ZGPAT||SMARCA5||IRF4||BATF||GATAD1||EBF1||RAD21||DRAP1||MAZ||CEBPB||SMAD4||BCL6||BHLHE40||SSRP1||HOMEZ||TFAP4||HNF4A||KLF5||MXI1||VEZF1||TBL1XR1||NFIL3||IKZF5||STAT5A||RXRA||ATF2||THAP11||ETV1||MAFK||RARA||NFIA||DMAP1||THRB||TBX21||MBD1||ARID4B||ZNF664||MAX||ETV4||KDM1A||ATF7||MEIS2||TEAD3||NFATC1||HMG20A||MTA2||NR2F6||KDM3A||XRCC5||MITF||TEAD2||MTA3||ZNF48||MIER2||REST||TARDBP||HNF4G||SOX5||TCF7||LCORL||MYC||HLF||FOXA1||ZNF580||ZNF24||ATF3||EGR2||L3MBTL2||RBPJ||NKRF||ELF3||FOXA3||MLX||EGR1||ZNF687||SMC3||PPARG||CBFA2T3||HMG20B||CREB1||ZNF384||ZNF644||SP5||ETV6||ZBED1||ERF||MLLT1||RAD51||KAT8
GH01J045556	ZNF629||PRDM1||ZIC2||ZNF747||ZNF600||CEBPA||SCRT2||ZNF639||ZEB1||CEBPB||OSR2||ZNF580||BCL11A||ZBTB48||ZBTB17||SCRT1||JUND||NR2F2||KLF8||ZNF189||NR2F1||CEBPG||POLR3A||ZNF213||GTF3C2||EBF1||RAD21||KLF17||ZSCAN16||ZNF366||HNF4A||ZNF843||ZSCAN23||RXRA||PRDM6||GLIS1||ZNF24||ZNF664||MAX||ZFP37||INSM2||KLF1||ZNF362||GFI1B||SP7||ZSCAN21||ZNF121||IKZF1||SP1||ZEB2
GH01J045559	ZNF600||BCL6B||ZNF121
GH01J045564	IKZF1||RBFOX2
GH01J045537	PRDM10||PRDM1||PKNOX1||NR2C1||ZNF24||SP1||HDAC1||MGA||ZBTB20||HMBOX1||CTBP1||NFE2||HDAC2||ZNF316||NR2C2||MNT||FOSL1||MAFG||EHMT2||NR2F2||DPF2||HNF4A||ATF3||RXRA||PRDM6||KLF1||THRB||KDM1A||ZEB2||MEIS2||NR2F6||IKZF1||SMARCE1||L3MBTL2||ESRRA||ARID1B||GTF2F1||SMARCA4
GH01J045531	CEBPA||ZNF513||HNF4A||CEBPB||CEBPG||ZNF121
GH01J045570	CTCF||TEAD4||JUND||ZNF143||REST||RAD21||IRF2||POLR2A||TRIM22||ZNF600||SOX6||CBX3||ZNF184||CTBP1||TGIF2||BCLAF1||ZSCAN5C||ATF3||SMC3||AFF1||ZBTB17||MNT||ZNF217||MYC||TEAD1||TARDBP||MAX||DEK||NBN||ARNT||IKZF1||SAP130||MYNN||RFX5||HDAC8||MAFK||ZNF384||IRF4||BATF||GATAD1||ZNF654||CREM||SIN3B||SMAD5||RB1||PAX8||BHLHE40||ZNF366||MXI1||KLF11||IKZF5||THAP11||ZNF660||TRIM28||MBD1||ZNF2||ARID4B||ZEB2||JUN||TEAD3||YY1||KDM3A||KLF16||HNF4A||HBP1||L3MBTL2||RBPJ||ESRRA||ATF7||ZNF652||CC2D1A||XRCC5||ERF||ARID2
GH01J045575	ZNF512||LEF1||IKZF1||MTA2||PHF21A||RFX1||PKNOX1||ZNF24||DPF2||HDAC1||NRF1||HMBOX1||MTA3||CTBP1||ZBTB2||FOXK2||HDAC2||ZSCAN29||AFF1||POLR2A||NCOR1||EHMT2||GTF2A2||TRIM25||ARNT||ZC3H8||BCOR||MYNN||CTCF||FOXM1||NCOA1||SKIL||TAL1||TCF12||ID3||NBN||KDM1A||ZEB2||MLLT1||SMARCA4||TAF7||SMARCE1||L3MBTL2||NR4A1||CBFA2T2||RNF2||ZNF148||TRIM24||CBFA2T3||ARID1B||GTF2F1||ATF1
GH01J045526	FOXA1||SP1||MNT||FOXA2||ZSCAN5C||MAFK||ZBTB17||JUND||DPF2||HNF4A||RXRA||PRDM6||ZNF579||ZNF362||FOXA3||CEBPB||CREB1||ZNF384
GH01J045504	SP1||FOXA2||ZSCAN29||ATF3||JUND||NR2F2||HNF4A||RXRA
GH01J045502	GATAD2A||RCOR2||RBFOX2||SP1||CEBPA||FOXK2||SOX13||FOXA1||FOXA2||ATF3||EP300||TEAD1||JUND||NR2F2||FOXP1||SAP130||ZMYM3||FOSL2||CEBPB||SMAD4||BCL6||HNF4A||NFIL3||RXRA||THAP11||ZNF3||MAX||FOS||XRCC5||REST||KDM1A||HLF||FOXA3||RAD21||CEBPG||CREB1
GH01J045514	ZNF7||RBFOX2||SP1||CEBPA||NKRF||CTBP1||ZNF217||KLF9||POLR2A||RAD21||HNF4A||HNF4G||RXRA
GH01J045516	ESR1||CTBP1||ZNF217||NCOA3
GH01J045517	ESR1||CTBP1||HDGF||NCOA3
GH01J045513	PRDM10||CTCF||ZBTB40||EP400||ZNF592||ZBTB33||ZSCAN21||ZNF121||XRCC5
GH01J045512	CTCF||PRDM10||JUND||ZNF143||PKNOX1||REST||RAD21||IRF2||POLR2A||TRIM22||HDAC1||SIN3A||CBX3||NKRF||HMBOX1||EGR1||CTBP1||TGIF2||HDAC2||USF1||TCF12||SMC3||AFF1||ZBTB17||MNT||MYC||ZKSCAN1||EP400||FOSL1||MAX||MXI1||ZFHX2||SAP130||MYNN||ZNF189||RFX5||ZNF592||ZNF511||MXD4||ZNF384||ZNF654||CREM||USF2||RB1||SUPT5H||DPF2||SSRP1||TFAP4||ATF3||TBX21||ARID4B||ZEB2||ZBTB33||MEIS2||ZHX1||TEAD3||ZFP37||XRCC5||EGR2||L3MBTL2||TEAD4||ESRRA||DACH1||CBFA2T3||ARID1B||ZBTB40||ZSCAN21||ZNF121||RAD51||ATF1
GH01J045400	TEAD4||CEBPA||ZBTB44||FOXA2||ZBTB17||ATF4||NFIL3||ATF3||TEAD3||HNF4A||HLF||CEBPG
