GH05J158543	ATF3||YY1||FEZF1||FOXA2||MAFF||IRF4||ZNF316||RXRA||ZBTB33||MAFK||ZNF843||JUND||BATF||ZNF664||HNF4A||RAD21||FOXA1||JUNB||REST||TFAP4||MAX||SP1||EGR1||ZEB2||ZBTB17
GH05J158364	
GH05J158740	CTCF||RAD21||EZH2
GH05J158741	ZNF189
GH05J158538	ZIC2||RCOR1||IRF4||EBF1||IKZF1||ATF2||GLIS1||SPI1||IKZF2||DPF2||RELB||RUNX3||GATAD2B||KDM1A
GH05J158887	
GH05J158658	
GH05J158659	
GH05J158349	GATA2||MNT
GH05J158352	
GH05J158800	L3MBTL2||POLR2A
GH05J158532	POLR2A||RAD21
GH05J158529	CTCF||RAD21
GH05J158734	ATF2||ZNF362||SP1||ZNF384||TBP
GH05J158344	
GH05J158847	BATF||PAX5||IKZF1||ZNF24||NR2F1||HDGF||JUNB||PKNOX1||ARID3A||EGR2||IKZF2||POLR2A||DPF2||ZFHX2
GH05J158521	CEBPG||ATF4||HLF||CEBPB||ZFHX2
GH05J158798	
GH05J158797	RXRA||HNF4A||ATF3||SP1
GH05J158325	
GH05J158732	ZNF384||CTBP1||PKNOX1
GH05J158883	TRIM22||BHLHE40||IKZF1||ZNF664||ZNF24||HDGF||TCF7||TCF12||PKNOX1||ARID3A||SPI1||TARDBP||RAD51||MTA2||IKZF2||EED||DPF2||NBN||RELB||RUNX3||MLLT1
GH05J158880	CTCF||TRIM22||ZNF513||SMC3||SMARCA5||PKNOX1||STAT5A||PAX5||MTA3||STAT1||POLR2A||ARID3A||IKZF1||SMAD5||RAD21||ZNF687||IKZF2||GATAD2B
GH05J158326	RFX1||BMI1||SCRT2
GH05J158511	ATF2||TRIM22||FOXA2||BATF||FOXA1||PAX5||IKZF1||BMI1||ZBTB21||ZNF398||ZNF366||CREB1||TARDBP||ZNF629||IKZF2||ATF7||NBN||RELB||MLLT1||PRDM1
GH05J158639	ZSCAN16||TRIM28||FOS||PRDM10||ZBTB20||ZFHX2||ZSCAN5C||ZNF335
GH05J158315	
GH05J158843	EZH2
GH05J158312	NFE2||BACH1
GH05J158724	CTCF||FEZF1||RXRA||NFE2||RARA||JUND||RAD21||RFX1||CEBPB||ZNF626||BMI1||NR2F2
GH05J158793	
GH05J158308	ZNF366
GH05J158305	ZNF680
GH05J158502	
GH05J158497	YY1||RXRA||HNF4A||RAD21||SP1||HNF4G
GH05J158496	
GH05J158299	
GH05J158722	YY1||SP1||POU5F1||REST||KDM1A
GH05J158492	ZNF639||FEZF1||ZNF843||PRDM6||ZNF362||ZBTB21||GLIS1||SP7||ZNF629||ZNF558||PRDM10||ZBTB6||ZNF501||ZBTB20||ZBTB44
GH05J158874	YY1||BCL11A||ZNF592||CHD1||EBF1||MAX||TBP||BATF||ELF1||BHLHE40||PAX5||IKZF1||NFATC1||HNF4A||ZNF24||HDGF||MTA3||ATF2||JUNB||BACH1||STAT3||ZNF217||PKNOX1||TBL1XR1||ARID3A||ZSCAN4||SPI1||TARDBP||RAD51||ZNF687||CREM||MTA2||IKZF2||EED||TCF12||CTCF||ZSCAN29||NBN||RELB||RUNX3||ETV6||GATAD2B||SP1
GH05J158287	ZNF184||FEZF1||FOXA2||RXRA||JUND||PRDM6||INSM2||GLIS1||TFAP4||HNF4A||ZNF133||TRIM28||ZNF561||BCL6B||PKNOX1||ZNF660||FOS||ZNF629||ZNF692||OSR2||PRDM10||GFI1B||SP1||ZSCAN5C||PRDM1||ZNF335
GH05J158838	
GH05J158486	ZNF341||SCRT1||RAD21||SP7||ZSCAN4||ZNF660||EGR2||ZFHX2||SCRT2
